bench_name,model_name,temperature,max_feedback_cycles,seed,loop,max_dollar_budget,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-4o,1.0,5,0,True,0.5,True,4,4,9880,6400,1265,0.029349999999999998
002,gpt-4o,1.0,5,0,True,0.5,False,41,41,183245,117248,18873,0.5002825
003,gpt-4o,1.0,5,0,True,0.5,False,38,38,180569,105344,19833,0.5180724999999999
004,gpt-4o,1.0,5,0,True,0.5,False,40,40,181709,105856,19075,0.5127025000000001
005,gpt-4o,1.0,5,0,True,0.5,False,44,44,179929,127360,21045,0.5010725
006,gpt-4o,1.0,5,0,True,0.5,False,41,41,177602,103552,18602,0.500585
007,gpt-4o,1.0,5,0,True,0.5,False,47,47,188571,124160,19174,0.5079674999999999
008,gpt-4o,1.0,5,0,True,0.5,False,46,46,172026,104832,20827,0.5072949999999999
009,gpt-4o,1.0,5,0,True,0.5,False,42,42,183574,119040,20542,0.5155549999999999
010,gpt-4o,1.0,5,0,True,0.5,False,53,53,152282,90368,24003,0.507775
011,gpt-4o,1.0,5,0,True,0.5,True,30,30,112177,79488,10551,0.2865925
012,gpt-4o,1.0,5,0,True,0.5,False,38,38,173566,113408,21525,0.5074049999999999
013,gpt-4o,1.0,5,0,True,0.5,False,37,37,171660,105728,20948,0.50647
014,gpt-4o,1.0,5,0,True,0.5,True,23,23,84156,45440,9098,0.24456999999999998
015,gpt-4o,1.0,5,0,True,0.5,False,45,45,176043,109696,20305,0.5060375
016,gpt-4o,1.0,5,0,True,0.5,False,40,40,175820,100864,19426,0.50773
017,gpt-4o,1.0,5,0,True,0.5,True,34,34,137542,84992,14289,0.380505
018,gpt-4o,1.0,5,0,True,0.5,False,34,34,153163,86016,23016,0.5055475
019,gpt-4o,1.0,5,0,True,0.5,False,36,36,132922,77952,26681,0.501675
020,gpt-4o,1.0,5,0,True,0.5,False,25,25,150657,93824,25328,0.5126425
021,gpt-4o,1.0,5,0,True,0.5,False,29,29,167455,106752,22055,0.5057474999999999
022,gpt-4o,1.0,5,0,True,0.5,False,31,31,167688,122240,24160,0.5080199999999999
