bench_name,model_name,temperature,max_feedback_cycles,seed,loop,max_dollar_budget,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.2,1.0,5,0,True,0.5,True,2,2,4128,1792,475,0.0110516
002,gpt-5.2,1.0,5,0,True,0.5,True,1,1,1910,0,375,0.0085925
003,gpt-5.2,1.0,5,0,True,0.5,True,6,6,19795,12928,3284,0.060255649999999994
004,gpt-5.2,1.0,5,0,True,0.5,True,14,14,38340,26112,7353,0.1289106
005,gpt-5.2,1.0,5,0,True,0.5,True,1,1,1910,1792,353,0.0054621
006,gpt-5.2,1.0,5,0,True,0.5,True,26,26,69561,53760,11687,0.20067774999999996
007,gpt-5.2,1.0,5,0,True,0.5,True,1,1,1910,1792,370,0.0057001
008,gpt-5.2,1.0,5,0,True,0.5,False,88,88,210031,161664,27886,0.5033374500000001
009,gpt-5.2,1.0,5,0,True,0.5,False,85,85,187589,149504,29367,0.5039499499999999
010,gpt-5.2,1.0,5,0,True,0.5,False,107,107,210781,184192,30463,0.5052463500000001
011,gpt-5.2,1.0,5,0,True,0.5,True,1,1,1916,1792,189,0.0031766
012,gpt-5.2,1.0,5,0,True,0.5,True,9,9,26022,21120,4056,0.0690585
013,gpt-5.2,1.0,5,0,True,0.5,True,10,10,29562,21120,4596,0.08281350000000001
014,gpt-5.2,1.0,5,0,True,0.5,True,3,3,6474,3968,527,0.012457900000000001
015,gpt-5.2,1.0,5,0,True,0.5,False,51,51,181724,126976,27562,0.5038978
016,gpt-5.2,1.0,5,0,True,0.5,False,69,69,227367,175488,27229,0.5027046499999998
017,gpt-5.2,1.0,5,0,True,0.5,True,1,1,1915,1792,223,0.0036508499999999998
018,gpt-5.2,1.0,5,0,True,0.5,False,44,44,181010,123648,27527,0.5073999
019,gpt-5.2,1.0,5,0,True,0.5,False,38,38,166597,115584,28025,0.50184995
020,gpt-5.2,1.0,5,0,True,0.5,False,47,47,186772,125824,27145,0.5087082
021,gpt-5.2,1.0,5,0,True,0.5,False,43,43,149831,103936,28734,0.5007810500000002
022,gpt-5.2,1.0,5,0,True,0.5,False,50,50,180226,129408,28181,0.5061119000000001
