bench_name,model_name,temperature,max_feedback_cycles,seed,loop,max_dollar_budget,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.2,1.0,15,0,True,0.25,True,2,2,4147,3456,502,0.00884205
002,gpt-5.2,1.0,15,0,True,0.25,True,2,2,4223,3840,672,0.01075025
003,gpt-5.2,1.0,15,0,True,0.25,True,5,5,17570,15744,3369,0.053116699999999996
004,gpt-5.2,1.0,15,0,True,0.25,False,16,16,107429,86528,15378,0.26701115
005,gpt-5.2,1.0,15,0,True,0.25,True,1,1,1910,1792,336,0.0052241
006,gpt-5.2,1.0,15,0,True,0.25,False,27,27,124731,103424,13907,0.25008445
007,gpt-5.2,1.0,15,0,True,0.25,True,1,1,1910,1664,340,0.005481700000000001
008,gpt-5.2,1.0,15,0,True,0.25,False,18,18,88920,76032,15553,0.25360160000000004
009,gpt-5.2,1.0,15,0,True,0.25,True,5,5,20707,8704,7605,0.12899845
010,gpt-5.2,1.0,15,0,True,0.25,False,56,56,107016,95488,15474,0.2535204
011,gpt-5.2,1.0,15,0,True,0.25,True,1,1,1916,1664,189,0.0033781999999999996
012,gpt-5.2,1.0,15,0,True,0.25,True,4,4,10140,7936,1609,0.0277718
013,gpt-5.2,1.0,15,0,True,0.25,True,3,3,7338,6400,1477,0.0234395
014,gpt-5.2,1.0,15,0,True,0.25,True,1,1,1913,1664,100,0.00212695
015,gpt-5.2,1.0,15,0,True,0.25,True,21,21,67591,53632,9673,0.16923585000000002
016,gpt-5.2,1.0,15,0,True,0.25,False,43,43,103443,85504,15098,0.25772845
017,gpt-5.2,1.0,15,0,True,0.25,True,1,1,1915,1664,168,0.0030824499999999996
018,gpt-5.2,1.0,15,0,True,0.25,False,32,32,82318,66688,15224,0.25215889999999996
019,gpt-5.2,1.0,15,0,True,0.25,False,24,24,137165,97536,12892,0.26690755
020,gpt-5.2,1.0,15,0,True,0.25,False,31,31,90629,70784,15139,0.25906195000000004
021,gpt-5.2,1.0,15,0,True,0.25,False,22,22,117375,99840,14708,0.25407025000000005
022,gpt-5.2,1.0,15,0,True,0.25,False,16,16,86256,49024,12650,0.2508352
