bench_name,model_name,temperature,max_feedback_cycles,seed,loop,max_dollar_budget,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,1,1,1910,1792,2288,0.0046503000000000004
002,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,1,1,1910,0,1416,0.0033095
003,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,2,2,3818,3584,7853,0.015854100000000003
004,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,2,2,3816,1792,5714,0.0119788
005,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,2,2,3820,3584,5513,0.0111746
006,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,1,1,1910,1792,2996,0.0060663
007,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,1,1,1910,1792,2209,0.0044923
008,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,9,9,40511,24448,44438,0.09350295
009,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,11,11,53299,38272,52229,0.10917154999999998
010,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,5,5,14557,8192,23340,0.04847605
011,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,1,1,1916,0,1412,0.0033029999999999995
012,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,2,2,4340,3584,9099,0.0184766
013,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,7,7,14635,12544,26840,0.05451635
014,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,1,1,1913,1792,753,0.0015810499999999999
015,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,False,19,19,46811,36096,126786,0.25715314999999994
016,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,False,19,19,52938,41216,125998,0.2559569
017,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,True,1,1,1915,1792,1785,0.00364555
018,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,False,18,18,77135,49792,128074,0.26422854999999995
019,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,False,17,17,149206,116992,129952,0.2708823
020,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,False,18,18,81352,52096,124911,0.2584384
021,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,False,16,16,46299,29952,131745,0.26832554999999997
022,gpt-5-mini-2025-08-07,1.0,10,0,True,0.25,False,14,14,28338,25088,125483,0.2524057
