bench_name,model_name,temperature,max_feedback_cycles,seed,loop,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5-nano-2025-08-07,1.0,20,0,True,True,1,1,1910,1792,23920,0.00958286
002,gpt-5-nano-2025-08-07,1.0,20,0,True,True,1,1,1910,0,15173,0.0061646999999999995
003,gpt-5-nano-2025-08-07,1.0,20,0,True,False,38,38,203392,121088,511318,0.20924784
004,gpt-5-nano-2025-08-07,1.0,20,0,True,True,2,2,4519,1792,27344,0.01108291
005,gpt-5-nano-2025-08-07,1.0,20,0,True,True,3,3,7043,5760,45042,0.01810975
006,gpt-5-nano-2025-08-07,1.0,20,0,True,True,2,2,4282,3584,20205,0.00813482
007,gpt-5-nano-2025-08-07,1.0,20,0,True,True,4,4,10673,5376,68955,0.02787373
008,gpt-5-nano-2025-08-07,1.0,20,0,True,False,31,31,165948,80512,500673,0.20494355999999997
009,gpt-5-nano-2025-08-07,1.0,20,0,True,False,24,24,122337,65792,495331,0.20128860999999992
010,gpt-5-nano-2025-08-07,1.0,20,0,True,False,38,38,172918,105728,496475,0.20247814000000006
011,gpt-5-nano-2025-08-07,1.0,20,0,True,True,5,5,12752,8064,52836,0.02140912
012,gpt-5-nano-2025-08-07,1.0,20,0,True,False,62,62,391837,272768,484229,0.20100888999999997
013,gpt-5-nano-2025-08-07,1.0,20,0,True,False,52,52,558261,331136,473500,0.20241193
014,gpt-5-nano-2025-08-07,1.0,20,0,True,True,1,1,1913,0,8640,0.00355165
015,gpt-5-nano-2025-08-07,1.0,20,0,True,False,40,40,375101,213120,489990,0.20516064999999997
016,gpt-5-nano-2025-08-07,1.0,20,0,True,False,29,29,107262,61056,499212,0.20230037999999995
017,gpt-5-nano-2025-08-07,1.0,20,0,True,True,1,1,1915,1792,9962,0.00399991
018,gpt-5-nano-2025-08-07,1.0,20,0,True,False,40,40,452207,248320,483190,0.20471195
019,gpt-5-nano-2025-08-07,1.0,20,0,True,False,36,36,321031,168064,483852,0.20202946999999993
020,gpt-5-nano-2025-08-07,1.0,20,0,True,False,36,36,349010,201344,481150,0.20085001999999996
021,gpt-5-nano-2025-08-07,1.0,20,0,True,False,44,44,317564,209920,484767,0.20033859999999998
022,gpt-5-nano-2025-08-07,1.0,20,0,True,False,25,25,99693,54784,504554,0.20434097
