bench_name,model_name,temperature,num_completions,max_feedback_cycles,seed,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5-mini-2025-08-07,1.0,8,10,0,True,1,2578,2432,26534,0.0531653
002,gpt-5-mini-2025-08-07,1.0,8,10,0,True,1,2578,0,28972,0.058588499999999995
003,gpt-5-mini-2025-08-07,1.0,16,10,0,True,2,5930,4224,71939,0.14441009999999999
004,gpt-5-mini-2025-08-07,1.0,24,10,0,False,3,9705,7040,111909,0.22466024999999998
005,gpt-5-mini-2025-08-07,1.0,8,10,0,True,1,2578,2432,23909,0.0479153
006,gpt-5-mini-2025-08-07,1.0,16,10,0,True,2,5624,1792,72725,0.1464528
007,gpt-5-mini-2025-08-07,1.0,8,10,0,True,1,2578,2432,23886,0.0478693
008,gpt-5-mini-2025-08-07,1.0,32,10,0,False,4,14753,8064,151520,0.30491385
009,gpt-5-mini-2025-08-07,1.0,16,10,0,True,2,6151,4224,78479,0.15754534999999997
010,gpt-5-mini-2025-08-07,1.0,16,10,0,True,2,5683,4864,85015,0.17035635
011,gpt-5-mini-2025-08-07,1.0,8,10,0,True,1,2584,2432,15723,0.031544800000000005
012,gpt-5-mini-2025-08-07,1.0,32,10,0,True,4,12986,9856,138619,0.2782669
013,gpt-5-mini-2025-08-07,1.0,24,10,0,True,3,9571,7040,102493,0.20579475
014,gpt-5-mini-2025-08-07,1.0,8,10,0,True,1,2581,2432,12874,0.02584605
015,gpt-5-mini-2025-08-07,1.0,16,10,0,False,2,5714,4224,109034,0.21854609999999997
016,gpt-5-mini-2025-08-07,1.0,16,10,0,False,2,5931,4224,140290,0.28111235
017,gpt-5-mini-2025-08-07,1.0,8,10,0,True,1,2583,1792,12523,0.02528855
018,gpt-5-mini-2025-08-07,1.0,16,10,0,False,2,6349,3584,135227,0.27123484999999997
019,gpt-5-mini-2025-08-07,1.0,8,10,0,False,1,2587,1792,112524,0.22529155
020,gpt-5-mini-2025-08-07,1.0,16,10,0,False,2,5965,3584,127201,0.25508685
021,gpt-5-mini-2025-08-07,1.0,16,10,0,False,2,6041,4224,111271,0.22310185
022,gpt-5-mini-2025-08-07,1.0,16,10,0,False,2,6057,3584,126668,0.25404384999999996
