bench_name,model_name,seed,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-4o,0,True,3,3,6982,6528,1040,0.019694999999999997
002,gpt-4o,0,True,6,6,18752,18048,2547,0.049789999999999994
003,gpt-4o,0,False,12,12,54786,51200,5288,0.12584499999999998
004,gpt-4o,0,False,12,12,53474,49920,5114,0.12242499999999998
005,gpt-4o,0,False,12,12,53533,50176,4933,0.1204425
006,gpt-4o,0,False,12,12,65823,54528,7458,0.1709775
007,gpt-4o,0,False,12,12,54830,43776,5106,0.13341499999999998
008,gpt-4o,0,False,1,1,1903,1024,370,0.0071775
009,gpt-4o,0,False,12,12,53561,51072,4886,0.11892249999999999
010,gpt-4o,0,False,12,12,53730,42880,5363,0.13435499999999997
011,gpt-4o,0,True,7,7,20800,13568,2085,0.055889999999999995
