bench_name,model_name,temperature,max_feedback_cycles_per_step,max_steps,seed,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,137806,107392,212673,0.08712686
002,gpt-5-nano-2025-08-07,1.0,20,30,0,False,4,4,8593,4608,8333,0.0035554899999999997
003,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,147667,115968,171662,0.07082959
004,gpt-5-nano-2025-08-07,1.0,20,30,0,False,3,3,6142,4992,4876,0.00203286
005,gpt-5-nano-2025-08-07,1.0,20,30,0,True,6,6,14312,7168,8021,0.00360144
006,gpt-5-nano-2025-08-07,1.0,20,30,0,False,4,4,8722,4864,9456,0.00399962
007,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,133403,113664,187650,0.07661526999999997
008,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,142144,110464,258495,0.10553431999999999
009,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,155202,114944,244127,0.10023842000000002
010,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,125946,101504,243043,0.09894682000000002
011,gpt-5-nano-2025-08-07,1.0,20,30,0,True,2,2,3176,2304,5786,0.00236952
012,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,182933,145664,152809,0.06371536999999998
013,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,176749,131456,182844,0.07605953000000001
014,gpt-5-nano-2025-08-07,1.0,20,30,0,True,2,2,3111,2304,2902,0.00121267
015,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,147486,123136,251743,0.10253038
016,gpt-5-nano-2025-08-07,1.0,20,30,0,False,4,4,8599,2304,14988,0.00632147
017,gpt-5-nano-2025-08-07,1.0,20,30,0,True,2,2,3114,2304,6112,0.00249682
018,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,161354,130176,237940,0.09738578000000002
019,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,156154,127872,215940,0.08842946
020,gpt-5-nano-2025-08-07,1.0,20,30,0,False,6,6,14765,12160,22426,0.009161449999999998
021,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,169598,136576,103530,0.04374598
022,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,161838,136704,241230,0.09843221999999999
