bench_name,model_name,temperature,max_feedback_cycles_per_step,max_steps,seed,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5-nano-2025-08-07,1.0,20,30,0,True,8,8,19539,9600,21872,0.00929375
002,gpt-5-nano-2025-08-07,1.0,20,30,0,True,8,8,19800,14720,17618,0.0073748
003,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,146570,119168,234930,0.09593794000000001
004,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,160160,128256,193374,0.07958608000000002
005,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,166754,135680,267704,0.1093137
006,gpt-5-nano-2025-08-07,1.0,20,30,0,False,4,4,8664,4608,5870,0.00257384
007,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,152941,122240,273711,0.11163065000000001
008,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,136452,104448,236536,0.09673683999999999
009,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,178063,144256,177320,0.07333963
010,gpt-5-nano-2025-08-07,1.0,20,30,0,True,11,11,28735,24960,42443,0.017290749999999997
011,gpt-5-nano-2025-08-07,1.0,20,30,0,True,2,2,3138,0,3003,0.0013580999999999999
012,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,185634,160896,210859,0.08638498
013,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,191284,162048,164885,0.06822604
014,gpt-5-nano-2025-08-07,1.0,20,30,0,True,2,2,3116,2304,5851,0.00239252
015,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,164211,130688,241049,0.09874918999999996
016,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,123180,99584,208916,0.08524412000000002
017,gpt-5-nano-2025-08-07,1.0,20,30,0,True,2,2,3126,2304,3949,0.0016322199999999998
018,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,140971,117888,187729,0.07683519
019,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,137610,112512,210237,0.08591225999999999
020,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,192928,153984,147259,0.06162071999999999
021,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,149789,119552,187368,0.07705680999999999
022,gpt-5-nano-2025-08-07,1.0,20,30,0,False,42,42,149889,118528,314356,0.12790309
