bench_name,model_name,temperature,max_feedback_cycles_per_step,max_steps,seed,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5-nano-2025-08-07,1.0,10,20,0,True,5,5,11220,9216,9889,0.0041018800000000005
002,gpt-5-nano-2025-08-07,1.0,10,20,0,True,6,6,14146,9856,12908,0.00542698
003,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,66818,52736,98361,0.04031218
004,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,68665,50688,109932,0.04512509
005,gpt-5-nano-2025-08-07,1.0,10,20,0,True,6,6,14192,4608,8763,0.004007439999999999
006,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,66779,51968,119188,0.048675590000000005
007,gpt-5-nano-2025-08-07,1.0,10,20,0,False,4,4,8633,7296,19947,0.00808213
008,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,72244,54912,104802,0.04306196
009,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,70437,54016,130622,0.05333993
010,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,63620,46208,131869,0.05384924
011,gpt-5-nano-2025-08-07,1.0,10,20,0,True,2,2,3092,2304,5830,0.0023829199999999997
012,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,70749,51328,93134,0.03848129
013,gpt-5-nano-2025-08-07,1.0,10,20,0,False,3,3,5884,4608,6424,0.0026564399999999995
014,gpt-5-nano-2025-08-07,1.0,10,20,0,True,2,2,3146,2304,5177,0.00212442
015,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,59436,51328,98302,0.03998284
016,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,65405,48512,122373,0.05003641
017,gpt-5-nano-2025-08-07,1.0,10,20,0,True,2,2,3171,2304,7647,0.00311367
018,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,70412,45952,108092,0.044689559999999996
019,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,69121,54528,121823,0.04973149
020,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,70188,55296,71938,0.02979628
021,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,70932,54144,80207,0.03319292
022,gpt-5-nano-2025-08-07,1.0,10,20,0,False,22,22,72321,56576,132068,0.05389732999999999
