bench_name,model_name,temperature,max_feedback_cycles_per_step,max_steps,seed,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5-mini-2025-08-07,1.0,2,20,0,True,5,5,11334,7168,2621,0.0064627
002,gpt-5-mini-2025-08-07,1.0,2,20,0,True,6,6,14046,9472,6230,0.013840299999999998
003,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,14661,9472,3438,0.00841005
004,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,14707,8960,5370,0.012400749999999999
005,gpt-5-mini-2025-08-07,1.0,2,20,0,True,6,6,14262,7680,2315,0.0064675
006,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,14029,9984,6556,0.01437285
007,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,14114,7168,6706,0.0153277
008,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,15324,7168,6269,0.0147562
009,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,15233,8192,4379,0.010723049999999998
010,gpt-5-mini-2025-08-07,1.0,2,20,0,False,3,3,5892,4096,2073,0.004697399999999999
011,gpt-5-mini-2025-08-07,1.0,2,20,0,True,2,2,3151,1792,1281,0.00294655
012,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,14287,5376,2328,0.007018149999999999
013,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,14400,9472,4652,0.010772799999999999
014,gpt-5-mini-2025-08-07,1.0,2,20,0,True,2,2,3129,1792,1256,0.00289105
015,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,14756,7168,3650,0.0093762
016,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,14214,7680,7438,0.0167015
017,gpt-5-mini-2025-08-07,1.0,2,20,0,True,2,2,3198,1792,1395,0.0031862999999999995
018,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,15096,9984,3585,0.0086976
019,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,14672,8960,5305,0.012261999999999999
020,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,14891,8960,3908,0.00952275
021,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,14853,10496,4603,0.01055765
022,gpt-5-mini-2025-08-07,1.0,2,20,0,False,6,6,15010,9984,7743,0.016992099999999996
