bench_name,model_name,temperature,max_feedback_cycles,seed,loop,max_dollar_budget,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,1.0,10,0,True,0.5,low,True,1,1,1910,0,347,0.009980000000000001
002,gpt-5.4,1.0,10,0,True,0.5,low,True,1,1,1910,0,443,0.01142
003,gpt-5.4,1.0,10,0,True,0.5,low,True,5,5,15750,11008,4846,0.087297
004,gpt-5.4,1.0,10,0,True,0.5,low,True,2,2,4607,1792,2476,0.0446255
005,gpt-5.4,1.0,10,0,True,0.5,low,True,1,1,1910,1792,568,0.009263
006,gpt-5.4,1.0,10,0,True,0.5,low,True,1,1,1910,1792,543,0.008888
007,gpt-5.4,1.0,10,0,True,0.5,low,True,1,1,1910,1792,558,0.009113000000000001
008,gpt-5.4,1.0,10,0,True,0.5,low,True,1,1,1910,1792,2039,0.031328
009,gpt-5.4,1.0,10,0,True,0.5,low,True,2,2,4616,3584,2537,0.041531
010,gpt-5.4,1.0,10,0,True,0.5,low,True,4,4,9032,7168,3148,0.053672
011,gpt-5.4,1.0,10,0,True,0.5,low,True,1,1,1916,1792,209,0.003893
012,gpt-5.4,1.0,10,0,True,0.5,low,True,1,1,1919,1792,1419,0.0220505
013,gpt-5.4,1.0,10,0,True,0.5,low,True,2,2,4324,3584,1455,0.024571000000000003
014,gpt-5.4,1.0,10,0,True,0.5,low,True,1,1,1913,1792,141,0.0028655
015,gpt-5.4,1.0,10,0,True,0.5,low,True,5,5,17105,12544,5366,0.0950285
016,gpt-5.4,1.0,10,0,True,0.5,low,True,1,1,1914,1792,2147,0.032957999999999994
017,gpt-5.4,1.0,10,0,True,0.5,low,True,1,1,1915,1792,203,0.0038005
018,gpt-5.4,1.0,10,0,True,0.5,low,False,10,10,83759,66048,31167,0.5282945
019,gpt-5.4,1.0,10,0,True,0.5,low,False,9,9,19856,16128,35609,0.5474870000000001
020,gpt-5.4,1.0,10,0,True,0.5,low,False,13,13,63201,49408,31295,0.5162595
021,gpt-5.4,1.0,10,0,True,0.5,low,True,5,5,13030,9984,7083,0.116356
022,gpt-5.4,1.0,10,0,True,0.5,low,True,5,5,19632,14080,12632,0.20688
