bench_name,model_name,temperature,max_feedback_cycles,seed,loop,max_dollar_budget,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,,40,0,True,0.75,low,True,1,1,1910,1792,367,0.0040415
002,gpt-5.4,,40,0,True,0.75,low,True,1,1,1910,1792,473,0.0051015
003,gpt-5.4,,40,0,True,0.75,low,True,1,1,1909,1792,799,0.00836025
004,gpt-5.4,,40,0,True,0.75,low,True,1,1,1908,1792,982,0.010188999999999998
005,gpt-5.4,,40,0,True,0.75,low,True,1,1,1910,1792,604,0.0064115
006,gpt-5.4,,40,0,True,0.75,low,True,1,1,1910,1792,589,0.0062615
007,gpt-5.4,,40,0,True,0.75,low,True,1,1,1910,1792,549,0.0058614999999999995
008,gpt-5.4,,40,0,True,0.75,low,True,3,3,8316,5376,3803,0.042377
009,gpt-5.4,,40,0,True,0.75,low,True,2,2,4987,3584,2939,0.03159175
010,gpt-5.4,,40,0,True,0.75,low,True,2,2,4247,3584,961,0.01088675
011,gpt-5.4,,40,0,True,0.75,low,True,1,1,1916,1792,200,0.002379
012,gpt-5.4,,40,0,True,0.75,low,True,1,1,1919,1792,851,0.008892749999999998
013,gpt-5.4,,40,0,True,0.75,low,True,1,1,1919,1792,1043,0.010812749999999998
014,gpt-5.4,,40,0,True,0.75,low,True,2,2,4076,3584,505,0.0061129999999999995
015,gpt-5.4,,40,0,True,0.75,low,True,9,9,25831,18176,15845,0.17029074999999996
016,gpt-5.4,,40,0,True,0.75,low,True,8,8,24001,15616,8099,0.09342324999999999
017,gpt-5.4,,40,0,True,0.75,low,True,1,1,1915,1792,191,0.00228775
018,gpt-5.4,,40,0,True,0.75,low,False,20,20,95826,70656,72286,0.7631545000000001
019,gpt-5.4,,40,0,True,0.75,low,False,24,24,81745,56320,73264,0.77146125
020,gpt-5.4,,40,0,True,0.75,low,True,19,19,86712,68864,42149,0.452408
021,gpt-5.4,,40,0,True,0.75,low,True,17,17,56365,41728,27034,0.29385225000000004
022,gpt-5.4,,40,0,True,0.75,low,True,5,5,16401,12032,11558,0.12254525
