bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-mini,low,low,9,3,12,0,0.2,True,5,12835,10752,903,0.01297775
002,gpt-5.4,gpt-5.4-mini,low,low,11,3,12,0,0.2,True,6,16167,13568,958,0.014524749999999998
003,gpt-5.4,gpt-5.4-mini,low,low,25,3,12,0,0.2,True,13,40954,31232,3923,0.055286499999999995
004,gpt-5.4,gpt-5.4-mini,low,low,17,3,12,0,0.2,True,9,27085,19456,2245,0.03441824999999999
005,gpt-5.4,gpt-5.4-mini,low,low,11,3,12,0,0.2,True,6,16295,13056,1137,0.017050749999999996
006,gpt-5.4,gpt-5.4-mini,low,low,11,3,12,0,0.2,True,6,16360,13056,1177,0.017531999999999996
007,gpt-5.4,gpt-5.4-mini,low,low,53,3,12,0,0.2,False,27,94281,71680,17881,0.21602124999999994
008,gpt-5.4,gpt-5.4-mini,low,low,49,3,12,0,0.2,False,25,90412,73216,17029,0.20093699999999998
009,gpt-5.4,gpt-5.4-mini,low,low,43,3,12,0,0.2,False,22,78555,57088,17797,0.21193974999999995
010,gpt-5.4,gpt-5.4-mini,low,low,89,3,12,0,0.2,False,45,145130,118016,15396,0.20260449999999994
011,gpt-5.4,gpt-5.4-mini,low,low,3,3,12,0,0.2,True,2,3633,0,315,0.0076912499999999984
012,gpt-5.4,gpt-5.4-mini,low,low,41,3,12,0,0.2,False,21,70200,46592,17905,0.21438400000000002
013,gpt-5.4,gpt-5.4-mini,low,low,29,3,12,0,0.2,True,15,48118,34560,8300,0.1042675
014,gpt-5.4,gpt-5.4-mini,low,low,3,3,12,0,0.2,True,2,3636,2304,262,0.004573
015,gpt-5.4,gpt-5.4-mini,low,low,49,3,12,0,0.2,False,25,80236,62720,17749,0.20722499999999996
016,gpt-5.4,gpt-5.4-mini,low,low,73,3,12,0,0.2,False,37,118039,96768,16171,0.20039474999999998
017,gpt-5.4,gpt-5.4-mini,low,low,3,3,12,0,0.2,True,2,3655,2304,292,0.004896749999999999
018,gpt-5.4,gpt-5.4-mini,low,low,45,3,12,0,0.2,False,23,78298,57344,17555,0.2089105
019,gpt-5.4,gpt-5.4-mini,low,low,41,3,12,0,0.2,False,21,79042,57344,17471,0.20900049999999998
020,gpt-5.4,gpt-5.4-mini,low,low,37,3,12,0,0.2,False,19,61888,47616,17979,0.203582
021,gpt-5.4,gpt-5.4-mini,low,low,41,3,12,0,0.2,False,21,70139,54272,17962,0.20623774999999997
022,gpt-5.4,gpt-5.4-mini,low,low,47,3,12,0,0.2,False,24,84954,62976,17404,0.20938449999999997
