bench_name,draft_model_name,cheap_draft_model_name,cheap_draft_effort,cheap_repair_model_name,cheap_request_limit,strong_draft_effort,strong_repair_model_name,num_completions,max_repair_cycles_per_step,max_total_steps,seed,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,189,0.004712000000000001
002,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,346,0.007067
003,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3745,3328,500,0.009374500000000001
004,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3744,3328,767,0.013377
005,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,792,0.013757
006,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,1925,0.030752
007,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,17,4,30,0,0.5,True,5,16720,13056,11304,0.0730465
008,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,758,0.013247
009,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,1150,0.019127
010,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3747,3328,290,0.0062295
011,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,11,4,30,0,0.5,True,3,9704,7424,5988,0.0327107
012,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3755,3328,696,0.0123395
013,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3755,3328,826,0.0142895
014,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3749,3328,75,0.0030095
015,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3750,3328,601,0.010902
016,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3750,3328,454,0.008697
017,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,6,4,30,0,0.5,True,2,6573,5120,3897,0.0218239
018,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,12,4,30,0,0.5,True,4,17990,12800,14381,0.1326573
019,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,2,4,30,0,0.5,True,2,8649,6656,4650,0.0763965
020,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3752,3328,2161,0.034307
021,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,17,4,30,0,0.5,True,5,18058,11264,21038,0.1457907
022,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3756,3328,1122,0.018732000000000002
