bench_name,draft_model_name,cheap_draft_model_name,cheap_draft_effort,cheap_repair_model_name,cheap_repair_effort,cheap_num_completions,cheap_request_limit,cheap_dollar_limit,strong_draft_effort,strong_repair_model_name,num_completions,max_repair_cycles_per_step,max_total_steps,seed,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,189,0.004712000000000001
002,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,249,0.005612000000000001
003,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3745,3328,498,0.0093445
004,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,7,4,30,0,0.5,True,4,14639,12288,5542,0.03424725000000001
005,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,1046,0.017567
006,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,749,0.013112
007,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,1013,0.017072
008,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,794,0.013787
009,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,8,4,30,0,0.5,True,5,19054,16128,8972,0.0709759
010,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3747,3328,289,0.0062145
011,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3752,3328,102,0.003422
012,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3755,3328,776,0.013539500000000001
013,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3755,3328,864,0.014859500000000001
014,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3749,3328,74,0.0029944999999999998
015,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3750,3328,596,0.010827
016,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3750,3328,411,0.008052
017,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,3,4,30,0,0.5,True,2,6620,5120,1298,0.010352650000000001
018,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,3,4,30,0,0.5,True,3,12362,9984,9932,0.157421
019,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,2,4,30,0,0.5,True,2,7510,6656,10448,0.16051900000000002
020,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,4,4,30,0,0.5,True,3,11304,9472,9760,0.11281870000000001
021,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3753,3328,1785,0.0286695
022,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3756,3328,1284,0.021162
