bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-nano,medium,low,9,3,12,0,True,0.2,True,5,13912,8448,629,0.014175999999999998
002,gpt-5.4,gpt-5.4-nano,medium,low,11,3,12,0,True,0.2,True,6,17506,14080,1443,0.020472499999999998
003,gpt-5.4,gpt-5.4-nano,medium,low,21,3,12,0,True,0.2,True,11,36264,28160,5370,0.06735
004,gpt-5.4,gpt-5.4-nano,medium,low,27,3,12,0,True,0.2,True,14,48946,36608,7943,0.09942849999999999
005,gpt-5.4,gpt-5.4-nano,medium,low,19,3,12,0,True,0.2,True,10,31788,25344,8305,0.094273
006,gpt-5.4,gpt-5.4-nano,medium,low,17,3,12,0,True,0.2,True,9,28187,22528,3969,0.04957974999999999
007,gpt-5.4,gpt-5.4-nano,medium,low,13,3,12,0,True,0.2,True,7,21147,14080,2103,0.03162374999999999
008,gpt-5.4,gpt-5.4-nano,medium,low,27,3,12,0,True,0.2,False,14,50959,34816,18987,0.21440075
009,gpt-5.4,gpt-5.4-nano,medium,low,31,3,12,0,True,0.2,False,16,57201,39424,19355,0.22069925
010,gpt-5.4,gpt-5.4-nano,medium,low,48,3,12,0,True,0.2,False,25,80319,61952,17705,0.20775274999999996
011,gpt-5.4,gpt-5.4-nano,medium,low,3,3,12,0,True,0.2,True,2,3945,2816,609,0.007853249999999999
012,gpt-5.4,gpt-5.4-nano,medium,low,21,3,12,0,True,0.2,True,11,38020,30208,6496,0.078501
013,gpt-5.4,gpt-5.4-nano,medium,low,19,3,12,0,True,0.2,True,10,33790,25344,8062,0.0943455
014,gpt-5.4,gpt-5.4-nano,medium,low,3,3,12,0,True,0.2,True,2,3910,2816,621,0.007929499999999999
015,gpt-5.4,gpt-5.4-nano,medium,low,25,3,12,0,True,0.2,False,13,43618,33792,21994,0.2364465
016,gpt-5.4,gpt-5.4-nano,medium,low,27,3,12,0,True,0.2,False,14,45139,33792,19221,0.21061775000000002
017,gpt-5.4,gpt-5.4-nano,medium,low,3,3,12,0,True,0.2,True,2,3958,2816,510,0.0068794999999999985
018,gpt-5.4,gpt-5.4-nano,medium,low,31,3,12,0,True,0.2,False,16,61801,40448,17317,0.20491725
019,gpt-5.4,gpt-5.4-nano,medium,low,31,3,12,0,True,0.2,False,16,61430,42496,17940,0.2083795
020,gpt-5.4,gpt-5.4-nano,medium,low,17,3,12,0,True,0.2,False,9,32485,24576,20142,0.21437825
021,gpt-5.4,gpt-5.4-nano,medium,low,23,3,12,0,True,0.2,False,12,42218,30976,18380,0.2017245
022,gpt-5.4,gpt-5.4-nano,medium,low,29,3,12,0,True,0.2,False,15,53676,39424,18970,0.212443
