bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_dollar_budget,max_sketch_feedback_cycles,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-mini,gpt-5.4-nano,medium,low,5,3,20,0,True,0.2,2,True,5,38657,33024,546,0.016629249999999998
002,gpt-5.4-mini,gpt-5.4-nano,medium,low,7,3,20,0,True,0.2,2,True,7,57795,52736,1401,0.02692575
003,gpt-5.4-mini,gpt-5.4-nano,medium,low,21,3,20,0,True,0.2,2,True,21,184947,168448,10914,0.15081974999999997
004,gpt-5.4-mini,gpt-5.4-nano,medium,low,11,3,20,0,True,0.2,2,True,11,97461,88832,2775,0.049640250000000004
005,gpt-5.4-mini,gpt-5.4-nano,medium,low,9,3,20,0,True,0.2,2,True,9,77162,71936,3673,0.052254499999999995
006,gpt-5.4-mini,gpt-5.4-nano,medium,low,6,3,20,0,True,0.2,2,True,6,48450,43776,2558,0.036894500000000004
007,gpt-5.4-mini,gpt-5.4-nano,medium,low,7,3,20,0,True,0.2,2,True,7,57720,54016,2045,0.031832
008,gpt-5.4-mini,gpt-5.4-nano,medium,low,16,3,20,0,True,0.2,2,False,16,151090,138752,16777,0.2005365
009,gpt-5.4-mini,gpt-5.4-nano,medium,low,23,3,20,0,True,0.2,2,False,23,207957,175360,14082,0.20348625
010,gpt-5.4-mini,gpt-5.4-nano,medium,low,9,3,20,0,True,0.2,2,True,9,76451,71936,1211,0.026745749999999995
011,gpt-5.4-mini,gpt-5.4-nano,medium,low,2,3,20,0,True,0.2,2,True,2,10961,9216,1035,0.013683250000000001
012,gpt-5.4-mini,gpt-5.4-nano,medium,low,14,3,20,0,True,0.2,2,False,14,126737,106752,17644,0.21476524999999996
013,gpt-5.4-mini,gpt-5.4-nano,medium,low,7,3,20,0,True,0.2,2,True,7,58566,54016,8400,0.0964395
014,gpt-5.4-mini,gpt-5.4-nano,medium,low,2,3,20,0,True,0.2,2,True,2,10940,9216,583,0.009137
015,gpt-5.4-mini,gpt-5.4-nano,medium,low,11,3,20,0,True,0.2,2,False,11,100075,79872,17873,0.21396774999999996
016,gpt-5.4-mini,gpt-5.4-nano,medium,low,12,3,20,0,True,0.2,2,True,12,105969,90880,4096,0.07118124999999997
017,gpt-5.4-mini,gpt-5.4-nano,medium,low,2,3,20,0,True,0.2,2,True,2,10991,9216,1822,0.02159075
018,gpt-5.4-mini,gpt-5.4-nano,medium,low,9,3,20,0,True,0.2,2,False,9,84599,72960,17970,0.20336874999999996
019,gpt-5.4-mini,gpt-5.4-nano,medium,low,12,3,20,0,True,0.2,2,False,12,110014,86528,16355,0.2037235
020,gpt-5.4-mini,gpt-5.4-nano,medium,low,8,3,20,0,True,0.2,2,False,8,69347,60928,19265,0.21078975000000003
021,gpt-5.4-mini,gpt-5.4-nano,medium,low,20,3,20,0,True,0.2,2,False,20,188351,160512,14523,0.20009274999999996
022,gpt-5.4-mini,gpt-5.4-nano,medium,low,20,3,20,0,True,0.2,2,False,20,179917,160512,21418,0.25850025
