cell,stage,arm,theorem,seed,cap,solved,qualified,failed,cost,input,cached,output
validation__agentic__amc12b_2020_p5__seed1,validation,agentic,amc12b_2020_p5,1,0.2,True,True,False,0.00077576,9031,6618,134
validation__agentic__imo_1981_p6__seed0,validation,agentic,imo_1981_p6,0,0.2,True,True,False,0.012048,66675,38610,4719
validation__agentic__mathd_numbertheory_461__seed1,validation,agentic,mathd_numbertheory_461,1,0.2,True,True,False,0.00038833999999999993,3802,2607,81
validation__agentic__mathd_numbertheory_33__seed0,validation,agentic,mathd_numbertheory_33,0,0.2,True,True,False,0.00559056,47022,33668,1872
validation__agentic__amc12a_2020_p21__seed0,validation,agentic,amc12a_2020_p21,0,0.2,False,False,False,0.04465569999999999,1023377,966365,11605
validation__agentic__mathd_algebra_234__seed1,validation,agentic,mathd_algebra_234,1,0.2,True,True,False,0.0005587400000000001,3766,2607,229
validation__agentic__induction_prod1p1onk3le3m1onn__seed0,validation,agentic,induction_prod1p1onk3le3m1onn,0,0.2,True,True,False,0.10168946,806833,489693,23723
validation__agentic__amc12a_2019_p21__seed1,validation,agentic,amc12a_2019_p21,1,0.2,False,False,False,0.12322905999999999,929027,437673,13504
validation__agentic__mathd_algebra_190__seed0,validation,agentic,mathd_algebra_190,0,0.2,True,True,False,0.0005503,7679,6355,132
validation__agentic__mathd_numbertheory_37__seed1,validation,agentic,mathd_numbertheory_37,1,0.2,False,False,False,0.019205760000000002,170736,120588,5637
validation__agentic__amc12a_2013_p8__seed1,validation,agentic,amc12a_2013_p8,1,0.2,True,True,False,0.006121779999999999,54608,46019,2903
validation__agentic__mathd_numbertheory_405__seed0,validation,agentic,mathd_numbertheory_405,0,0.2,False,False,False,0.12992402,650713,192661,28717
validation__agentic__imo_1969_p2__seed0,validation,agentic,imo_1969_p2,0,0.2,False,False,False,0.12023064,719871,294502,24389
validation__agentic__aime_1989_p8__seed0,validation,agentic,aime_1989_p8,0,0.2,True,True,False,0.00052994,4378,2607,103
validation__agentic__amc12b_2002_p3__seed0,validation,agentic,amc12b_2002_p3,0,0.2,True,True,False,0.005450739999999999,27497,13137,1930
validation__agentic__induction_prod1p1onk3le3m1onn__seed1,validation,agentic,induction_prod1p1onk3le3m1onn,1,0.2,True,True,False,0.12841198,772406,312009,25077
validation__agentic__imo_1984_p6__seed1,validation,agentic,imo_1984_p6,1,0.2,False,False,False,0.13198678,872540,418529,27345
validation__agentic__mathd_algebra_433__seed1,validation,agentic,mathd_algebra_433,1,0.2,True,True,False,0.0028966799999999996,23583,15364,788
validation__agentic__mathd_algebra_251__seed1,validation,agentic,mathd_algebra_251,1,0.2,True,True,False,0.00260992,13526,9276,1312
validation__agentic__imo_1964_p2__seed1,validation,agentic,imo_1964_p2,1,0.2,True,True,False,0.0425879,241111,139155,16178
validation__agentic__mathd_algebra_190__seed1,validation,agentic,mathd_algebra_190,1,0.2,True,True,False,0.00030716,3751,3748,193
validation__agentic__imo_1981_p6__seed1,validation,agentic,imo_1981_p6,1,0.2,True,True,False,0.00407164,29474,22082,1793
validation__agentic__algebra_others_exirrpowirrrat__seed0,validation,agentic,algebra_others_exirrpowirrrat,0,0.2,False,False,False,0.12697121999999997,1244709,862661,27757
validation__agentic__mathd_algebra_214__seed1,validation,agentic,mathd_algebra_214,1,0.2,True,True,False,0.0007813399999999999,3877,2607,396
validation__agentic__mathd_algebra_234__seed0,validation,agentic,mathd_algebra_234,0,0.2,True,True,False,0.00048792000000000003,7719,7526,249
validation__agentic__mathd_algebra_421__seed1,validation,agentic,mathd_algebra_421,1,0.2,True,True,False,0.004665539999999999,34812,23367,1591
