cell,batch,stage,arm,theorem,seed,solved,qualified,failed,cost,input,cached,output,requests,resets,uncached_cost
train__ace_compact__aime_1988_p3__seed0,pilot,train,ace_compact,aime_1988_p3,0,True,True,False,0.02101406,126424,85833,9316,13,0,0.036463999999999996
train__agentic_reset__mathd_numbertheory_221__seed0,pilot,train,agentic_reset,mathd_numbertheory_221,0,True,True,False,0.00014642,3874,3871,57,1,0,0.0008432
train__agentic__mathd_algebra_185__seed0,pilot,train,agentic,mathd_algebra_185,0,False,False,False,0.037522200000000006,282447,199900,14179,24,0,0.07350419999999999
train__ace_compact__mathd_numbertheory_221__seed0,pilot,train,ace_compact,mathd_numbertheory_221,0,True,True,False,0.00160878,10962,4829,238,2,0,0.0024779999999999997
train__agentic_compact__aime_1988_p3__seed0,pilot,train,agentic_compact,aime_1988_p3,0,False,False,False,0.040672639999999996,149275,46582,16002,16,0,0.0490574
train__ace__mathd_algebra_185__seed0,pilot,train,ace,mathd_algebra_185,0,False,False,False,0.0387177,206907,95025,12034,15,0,0.0558222
train__agentic_reset__aime_1988_p3__seed0,pilot,train,agentic_reset,aime_1988_p3,0,False,False,False,0.046592339999999996,211872,99287,18408,24,1,0.064464
train__agentic__aime_1988_p3__seed0,pilot,train,agentic,aime_1988_p3,0,False,False,False,0.043132659999999996,236438,115203,13818,19,0,0.0638692
train__ace__mathd_numbertheory_221__seed0,pilot,train,ace,mathd_numbertheory_221,0,True,True,False,0.00056326,6170,4873,172,1,0,0.0014403999999999999
train__ace__aime_1988_p3__seed0,pilot,train,ace,aime_1988_p3,0,False,False,False,0.03742502,269515,181711,13525,19,0,0.070133
train__ace_reset__aime_1988_p3__seed0,pilot,train,ace_reset,aime_1988_p3,0,True,True,False,0.030717519999999998,355973,300846,11396,30,1,0.0848698
train__agentic_compact__mathd_numbertheory_221__seed0,pilot,train,agentic_compact,mathd_numbertheory_221,0,True,True,False,0.0008251999999999999,2536,0,265,1,0,0.0008251999999999999
train__agentic__imo_1967_p3__seed0,pilot,train,agentic,imo_1967_p3,0,False,False,False,0.0425317,275546,171175,15195,23,0,0.0733432
train__agentic_reset__imo_1967_p3__seed0,pilot,train,agentic_reset,imo_1967_p3,0,False,False,False,0.04504122000000001,308139,215921,18566,27,2,0.083907
train__ace_reset__mathd_algebra_185__seed0,pilot,train,ace_reset,mathd_algebra_185,0,False,False,False,0.040083,404235,325400,14840,31,2,0.098655
train__ace_reset__mathd_numbertheory_221__seed0,pilot,train,ace_reset,mathd_numbertheory_221,0,True,True,False,0.00031594,6170,6167,160,1,0,0.0014259999999999998
train__ace__imo_1967_p3__seed0,pilot,train,ace,imo_1967_p3,0,False,False,False,0.03334638,368436,299349,11285,23,0,0.08722919999999999
train__ace_reset__imo_1967_p3__seed0,pilot,train,ace_reset,imo_1967_p3,0,False,False,False,0.046872020000000014,208192,100571,19447,17,1,0.0649748
train__ace_compact__mathd_algebra_185__seed0,pilot,train,ace_compact,mathd_algebra_185,0,False,False,False,0.038285099999999996,271536,181005,13799,24,0,0.070866
train__agentic_reset__mathd_algebra_185__seed0,pilot,train,agentic_reset,mathd_algebra_185,0,False,False,False,0.038392539999999996,366440,281077,13082,42,2,0.0889864
train__ace_compact__imo_1967_p3__seed0,pilot,train,ace_compact,imo_1967_p3,0,False,False,False,0.03986008,261887,173774,15635,22,0,0.07113939999999999
train__agentic_compact__imo_1967_p3__seed0,pilot,train,agentic_compact,imo_1967_p3,0,False,False,False,0.040442940000000004,201696,96857,14615,20,0,0.0578772
train__agentic__mathd_numbertheory_221__seed0,pilot,train,agentic,mathd_numbertheory_221,0,True,True,False,0.00043873999999999996,3874,2607,111,1,0,0.000908
train__agentic_compact__mathd_algebra_185__seed0,pilot,train,agentic_compact,mathd_algebra_185,0,False,False,False,0.039802399999999995,180862,86520,16003,18,0,0.055375999999999995
