cell,batch,stage,arm,theorem,seed,solved,qualified,failed,cost,input,cached,output,requests,resets,continued,uncached_cost
validation__ace__mathd_algebra_282__seed1,final00,validation,ace,mathd_algebra_282,1,False,False,False,0.030712899999999998,632501,577285,6770,29,0,False,0.1346242
validation__agentic_reset__mathd_algebra_282__seed0,final00,validation,agentic_reset,mathd_algebra_282,0,False,False,False,0.03718507999999998,624307,567744,12098,54,2,False,0.139379
validation__ace__mathd_algebra_282__seed0,final00,validation,ace,mathd_algebra_282,0,False,False,False,0.027623740000000004,727943,698227,6430,40,0,False,0.15330459999999999
validation__ace_reset_compact__mathd_algebra_282__seed1,final00,validation,ace_reset_compact,mathd_algebra_282,1,False,False,False,0.03588866,782449,743813,11071,64,2,False,0.16977499999999998
validation__agentic_compact__mathd_algebra_282__seed0,final00,validation,agentic_compact,mathd_algebra_282,0,False,False,False,0.030345520000000008,914879,882986,5256,57,0,False,0.189283
validation__agentic_reset__algebra_others_exirrpowirrrat__seed0,final00,validation,agentic_reset,algebra_others_exirrpowirrrat,0,False,False,False,0.04586757999999999,528854,446449,17048,52,2,False,0.1262284
validation__ace_reset__algebra_others_exirrpowirrrat__seed1,final00,validation,ace_reset,algebra_others_exirrpowirrrat,1,False,False,False,0.044120360000000004,460771,377468,16592,39,1,False,0.11206459999999999
validation__ace_compact__algebra_others_exirrpowirrrat__seed1,final00,validation,ace_compact,algebra_others_exirrpowirrrat,1,False,False,False,0.037888939999999996,528487,468407,13754,38,0,False,0.1222022
validation__agentic_reset_compact__algebra_others_exirrpowirrrat__seed0,final00,validation,agentic_reset_compact,algebra_others_exirrpowirrrat,0,False,False,False,0.04554438,412116,331089,18931,52,2,False,0.1051404
validation__ace_reset__mathd_algebra_282__seed0,final00,validation,ace_reset,mathd_algebra_282,0,False,False,False,0.04158095999999999,469953,376598,12815,36,2,False,0.1093686
validation__agentic_compact__mathd_algebra_282__seed1,final00,validation,agentic_compact,mathd_algebra_282,1,False,False,False,0.029748379999999994,649981,608119,7678,42,0,False,0.1392098
validation__agentic_reset_compact__mathd_algebra_282__seed1,final00,validation,agentic_reset_compact,mathd_algebra_282,1,False,False,False,0.038328119999999986,618864,558966,12641,64,2,False,0.13894199999999998
validation__agentic__mathd_algebra_282__seed1,final00,validation,agentic,mathd_algebra_282,1,False,False,False,0.03948638,363502,247149,9394,24,0,False,0.0839732
validation__ace_reset_compact__algebra_others_exirrpowirrrat__seed1,final00,validation,ace_reset_compact,algebra_others_exirrpowirrrat,1,False,False,False,0.04155297999999999,469964,406459,17269,45,2,False,0.1147156
validation__ace_compact__algebra_others_exirrpowirrrat__seed0,final00,validation,ace_compact,algebra_others_exirrpowirrrat,0,False,False,False,0.036388859999999995,546009,481303,11518,34,0,False,0.1230234
validation__agentic_reset_compact__mathd_algebra_282__seed0,final00,validation,agentic_reset_compact,mathd_algebra_282,0,False,False,False,0.03348118,623411,579159,10873,64,2,False,0.13772979999999999
validation__agentic_compact__algebra_others_exirrpowirrrat__seed0,final00,validation,agentic_compact,algebra_others_exirrpowirrrat,0,False,False,False,0.04044582,325938,230781,13999,32,0,False,0.0819864
validation__agentic_compact__algebra_others_exirrpowirrrat__seed1,final00,validation,agentic_compact,algebra_others_exirrpowirrrat,1,False,False,False,0.04180306,403457,296553,12076,32,0,False,0.09518259999999999
validation__agentic_reset__mathd_algebra_282__seed1,final00,validation,agentic_reset,mathd_algebra_282,1,False,False,False,0.0337983,694944,644785,9059,53,2,False,0.14985959999999998
validation__agentic__algebra_others_exirrpowirrrat__seed1,final00,validation,agentic,algebra_others_exirrpowirrrat,1,False,False,False,0.03982542,368523,253431,9782,23,0,False,0.08544299999999999
validation__ace_compact__mathd_algebra_282__seed1,final00,validation,ace_compact,mathd_algebra_282,1,False,False,False,0.031888059999999996,638618,593573,9173,44,0,False,0.1387312
validation__ace_reset_compact__algebra_others_exirrpowirrrat__seed0,final00,validation,ace_reset_compact,algebra_others_exirrpowirrrat,0,False,False,False,0.04233854,438142,374377,18415,44,2,False,0.1097264
validation__agentic__mathd_algebra_282__seed0,final00,validation,agentic,mathd_algebra_282,0,False,False,False,0.036033600000000006,392373,292870,8563,23,0,False,0.08875019999999999
validation__agentic__algebra_others_exirrpowirrrat__seed0,final00,validation,agentic,algebra_others_exirrpowirrrat,0,False,False,False,0.03877282,453005,366141,11731,30,0,False,0.1046782
validation__ace_compact__mathd_algebra_282__seed0,final00,validation,ace_compact,mathd_algebra_282,0,False,False,False,0.029419499999999994,759324,721945,6254,46,0,False,0.1593696
validation__ace_reset__mathd_algebra_282__seed1,final00,validation,ace_reset,mathd_algebra_282,1,False,False,False,0.03547406,541372,483333,11833,39,2,False,0.122474
validation__ace_reset_compact__mathd_algebra_282__seed0,final00,validation,ace_reset_compact,mathd_algebra_282,0,False,False,False,0.036463039999999995,614008,560732,12161,49,2,False,0.13739479999999998
validation__ace_reset__algebra_others_exirrpowirrrat__seed0,final00,validation,ace_reset,algebra_others_exirrpowirrrat,0,False,False,True,0.04139804,533626,463602,15101,44,2,False,0.1248464
validation__agentic_reset__algebra_others_exirrpowirrrat__seed1,final00,validation,agentic_reset,algebra_others_exirrpowirrrat,1,False,False,False,0.04090409999999999,448659,361745,13572,48,2,True,0.1060182
validation__ace__algebra_others_exirrpowirrrat__seed1,final00,validation,ace,algebra_others_exirrpowirrrat,1,False,False,False,0.03950503999999999,451804,374892,13854,32,0,False,0.10698559999999999
validation__agentic_reset_compact__algebra_others_exirrpowirrrat__seed1,final00,validation,agentic_reset_compact,algebra_others_exirrpowirrrat,1,False,False,False,0.0462444,410043,324930,18936,52,2,True,0.1047318
validation__ace__algebra_others_exirrpowirrrat__seed0,final00,validation,ace,algebra_others_exirrpowirrrat,0,False,False,False,0.03641907999999999,412226,340734,12755,29,0,False,0.0977512
validation__agentic__mathd_numbertheory_33__seed0,final01,validation,agentic,mathd_numbertheory_33,0,True,True,False,0.00112608,12960,11344,480,3,0,False,0.003168
validation__ace_compact__mathd_numbertheory_33__seed0,final01,validation,ace_compact,mathd_numbertheory_33,0,True,True,False,0.00169508,20965,19924,907,4,0,False,0.0052813999999999995
validation__agentic_reset__mathd_numbertheory_33__seed0,final01,validation,agentic_reset,mathd_numbertheory_33,0,True,True,False,0.0050360000000000005,53482,42140,1604,9,0,False,0.012621199999999999
validation__agentic_compact__mathd_numbertheory_33__seed1,final01,validation,agentic_compact,mathd_numbertheory_33,1,True,True,False,0.004821399999999999,32489,18040,1309,8,0,False,0.0080686
validation__agentic_reset_compact__mathd_numbertheory_33__seed0,final01,validation,agentic_reset_compact,mathd_numbertheory_33,0,True,True,False,0.00275196,31986,27978,1159,8,0,False,0.007788
validation__ace__mathd_numbertheory_33__seed0,final01,validation,ace,mathd_numbertheory_33,0,True,True,False,0.0008678199999999999,12320,10901,305,2,0,False,0.00283
validation__agentic_compact__mathd_numbertheory_33__seed0,final01,validation,agentic_compact,mathd_numbertheory_33,0,True,True,False,0.009730400000000002,117409,107950,4733,16,0,False,0.0291614
validation__ace_reset_compact__mathd_numbertheory_33__seed1,final01,validation,ace_reset_compact,mathd_numbertheory_33,1,True,True,False,0.0008089,9677,8225,295,2,0,False,0.0022894
validation__ace_reset_compact__mathd_numbertheory_33__seed0,final01,validation,ace_reset_compact,mathd_numbertheory_33,0,True,True,False,0.0006257999999999999,9693,9380,313,2,0,False,0.0023141999999999998
validation__agentic__mathd_algebra_251__seed1,final01,validation,agentic,mathd_algebra_251,1,True,True,False,0.00365802,32838,27911,1762,6,0,False,0.008681999999999999
validation__ace__mathd_algebra_251__seed0,final01,validation,ace,mathd_algebra_251,0,True,True,False,0.00063506,6067,4873,249,1,0,False,0.0015122
validation__agentic_compact__mathd_algebra_251__seed0,final01,validation,agentic_compact,mathd_algebra_251,0,True,True,False,0.0025423399999999997,8989,6417,1583,3,0,False,0.0036974
validation__agentic__mathd_algebra_251__seed0,final01,validation,agentic,mathd_algebra_251,0,True,True,False,0.0039402199999999995,27973,21051,1779,6,0,False,0.0077294
validation__agentic_compact__mathd_algebra_251__seed1,final01,validation,agentic_compact,mathd_algebra_251,1,True,True,False,0.00432032,21148,13876,2157,6,0,False,0.006817999999999999
validation__agentic_reset_compact__mathd_algebra_251__seed1,final01,validation,agentic_reset_compact,mathd_algebra_251,1,True,True,False,0.00505084,26201,16792,2361,7,0,False,0.0080734
validation__ace_reset__mathd_algebra_251__seed1,final01,validation,ace_reset,mathd_algebra_251,1,True,True,False,0.0008190799999999999,6067,6064,581,1,0,False,0.0019105999999999997
validation__agentic_reset__mathd_algebra_251__seed1,final01,validation,agentic_reset,mathd_algebra_251,1,True,True,False,0.00406486,30839,22903,1683,6,0,False,0.0081874
validation__ace_reset_compact__mathd_algebra_251__seed1,final01,validation,ace_reset_compact,mathd_algebra_251,1,True,True,False,0.0008019199999999999,4729,4726,589,1,0,False,0.0016526
validation__ace_compact__mathd_algebra_251__seed0,final01,validation,ace_compact,mathd_algebra_251,0,True,True,False,0.0010114999999999998,4729,3535,585,1,0,False,0.0016478
validation__ace_reset__mathd_algebra_251__seed0,final01,validation,ace_reset,mathd_algebra_251,0,True,True,False,0.00070466,6067,4873,307,1,0,False,0.0015818
validation__agentic_reset_compact__mathd_algebra_251__seed0,final01,validation,agentic_reset_compact,mathd_algebra_251,0,True,True,False,0.0034005199999999998,12052,8546,2107,4,0,False,0.0049388
validation__ace__mathd_algebra_251__seed1,final01,validation,ace,mathd_algebra_251,1,True,True,False,0.00054548,6067,6064,353,1,0,False,0.001637
validation__ace_compact__mathd_numbertheory_33__seed1,final01,validation,ace_compact,mathd_numbertheory_33,1,True,True,False,0.000816,9786,9380,456,2,0,False,0.0025044
validation__agentic_reset__mathd_numbertheory_33__seed1,final01,validation,agentic_reset,mathd_numbertheory_33,1,True,True,False,0.00363972,35946,27186,1120,6,0,False,0.0085332
validation__agentic__mathd_numbertheory_33__seed1,final01,validation,agentic,mathd_numbertheory_33,1,True,True,False,0.0036432599999999997,42249,33963,1089,7,0,False,0.0097566
validation__ace_reset__mathd_numbertheory_33__seed0,final01,validation,ace_reset,mathd_numbertheory_33,0,True,True,False,0.00095756,6031,6028,697,1,0,False,0.0020426
validation__ace__mathd_numbertheory_33__seed1,final01,validation,ace,mathd_numbertheory_33,1,True,True,False,0.00050876,6031,6028,323,1,0,False,0.0015937999999999998
validation__ace_compact__mathd_algebra_251__seed1,final01,validation,ace_compact,mathd_algebra_251,1,True,True,False,0.00081392,4729,4726,599,1,0,False,0.0016646
validation__ace_reset__mathd_numbertheory_33__seed1,final01,validation,ace_reset,mathd_numbertheory_33,1,True,True,False,0.00197852,12427,12056,1386,2,0,False,0.0041486
validation__agentic_reset__mathd_algebra_251__seed0,final01,validation,agentic_reset,mathd_algebra_251,0,True,True,False,0.00252016,23516,20228,1215,5,0,False,0.0061611999999999995
validation__ace_reset_compact__mathd_algebra_251__seed0,final01,validation,ace_reset_compact,mathd_algebra_251,0,True,True,False,0.008760019999999999,89485,84721,5094,13,0,False,0.024009799999999998
validation__agentic_reset_compact__mathd_numbertheory_33__seed1,final01,validation,agentic_reset_compact,mathd_numbertheory_33,1,True,True,False,0.00708874,42725,35737,4147,8,0,False,0.0135214
validation__agentic_reset_compact__amc12a_2019_p21__seed1,final02,validation,agentic_reset_compact,amc12a_2019_p21,1,False,False,False,0.042829699999999984,458533,355305,12565,57,1,False,0.1067846
validation__agentic_compact__imo_1960_p2__seed1,final02,validation,agentic_compact,imo_1960_p2,1,True,True,False,0.011569320000000001,68532,38906,4055,12,0,False,0.0185724
validation__agentic_reset_compact__imo_1960_p2__seed1,final02,validation,agentic_reset_compact,imo_1960_p2,1,True,True,False,0.018278299999999997,97540,59745,7937,15,0,False,0.029032399999999996
validation__ace_reset__imo_1960_p2__seed0,final02,validation,ace_reset,imo_1960_p2,0,True,True,False,0.004951799999999999,29112,22290,2618,4,0,False,0.008964
validation__agentic__amc12a_2019_p21__seed0,final02,validation,agentic,amc12a_2019_p21,0,False,False,False,0.025599240000000002,642918,623082,7642,48,0,False,0.137754
validation__ace__imo_1960_p2__seed1,final02,validation,ace,imo_1960_p2,1,True,True,False,0.003982599999999999,29630,22290,1724,4,0,False,0.0079948
validation__agentic_compact__amc12a_2019_p21__seed1,final02,validation,agentic_compact,amc12a_2019_p21,1,False,False,False,0.039399840000000005,342252,230452,10359,32,0,False,0.08088119999999999
