stage,arm,theorem,seed,success,qualified,platform_failed,cost,cost_per_cell_uncached,requests,book_exposures,result,trace_file
training,v2,imo_1967_p3,0,False,False,False,0.03771022,0.0735574,21,21,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__imo_1967_p3__seed0/result.yaml,analysis/traces/training_v2_imo_1967_p3_0.json
training,v2,aime_1988_p3,0,True,True,False,0.03582632,0.0630542,17,17,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__aime_1988_p3__seed0/result.yaml,analysis/traces/training_v2_aime_1988_p3_0.json
training,v2,amc12a_2003_p1,0,True,True,False,0.0039171,0.007685399999999999,4,4,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__amc12a_2003_p1__seed0/result.yaml,analysis/traces/training_v2_amc12a_2003_p1_0.json
training,v2,induction_pord1p1on2powklt5on2,0,True,True,False,0.029495299999999995,0.053096,14,14,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__induction_pord1p1on2powklt5on2__seed0/result.yaml,analysis/traces/training_v2_induction_pord1p1on2powklt5on2_0.json
training,v2,algebra_amgm_sum1toneqn_prod1tonleq1,0,False,False,False,0.0390439,0.0892414,22,22,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__algebra_amgm_sum1toneqn_prod1tonleq1__seed0/result.yaml,analysis/traces/training_v2_algebra_amgm_sum1toneqn_prod1tonleq1_0.json
training,v2,mathd_algebra_185,0,False,False,False,0.03528045999999999,0.08450559999999999,24,24,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_algebra_185__seed0/result.yaml,analysis/traces/training_v2_mathd_algebra_185_0.json
training,v2,mathd_numbertheory_221,0,True,True,False,0.00055726,0.0014343999999999997,1,1,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_numbertheory_221__seed0/result.yaml,analysis/traces/training_v2_mathd_numbertheory_221_0.json
training,v2,imo_1963_p5,0,False,False,False,0.0373415,0.05459,15,15,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__imo_1963_p5__seed0/result.yaml,analysis/traces/training_v2_imo_1963_p5_0.json
training,v2,aime_1984_p1,0,True,True,False,0.033039519999999996,0.046528,13,13,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__aime_1984_p1__seed0/result.yaml,analysis/traces/training_v2_aime_1984_p1_0.json
training,v2,amc12a_2013_p7,0,True,True,False,0.00088246,0.0017596,1,1,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__amc12a_2013_p7__seed0/result.yaml,analysis/traces/training_v2_amc12a_2013_p7_0.json
training,v2,mathd_algebra_206,0,True,True,False,0.00069166,0.0015688,1,1,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_algebra_206__seed0/result.yaml,analysis/traces/training_v2_mathd_algebra_206_0.json
training,v2,mathd_numbertheory_301,0,True,True,False,0.00083466,0.0017117999999999999,1,1,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_numbertheory_301__seed0/result.yaml,analysis/traces/training_v2_mathd_numbertheory_301_0.json
training,v2,imo_1968_p5_1,0,False,False,False,0.03947068,0.066601,18,18,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__imo_1968_p5_1__seed0/result.yaml,analysis/traces/training_v2_imo_1968_p5_1_0.json
training,v2,aime_1988_p8,0,True,True,False,0.0101301,0.014515799999999999,5,5,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__aime_1988_p8__seed0/result.yaml,analysis/traces/training_v2_aime_1988_p8_0.json
training,v2,amc12a_2016_p2,0,False,False,False,0.029602739999999995,0.050483999999999994,17,17,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__amc12a_2016_p2__seed0/result.yaml,analysis/traces/training_v2_amc12a_2016_p2_0.json
training,v2,mathd_algebra_224,0,False,False,False,0.03716328,0.0677748,19,19,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_algebra_224__seed0/result.yaml,analysis/traces/training_v2_mathd_algebra_224_0.json
training,v2,mathd_numbertheory_326,0,True,True,False,0.00048565999999999995,0.0013628,1,1,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_numbertheory_326__seed0/result.yaml,analysis/traces/training_v2_mathd_numbertheory_326_0.json
training,v2,imo_1977_p6,0,False,False,False,0.04043881999999999,0.0530714,12,12,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__imo_1977_p6__seed0/result.yaml,analysis/traces/training_v2_imo_1977_p6_0.json
training,v2,aime_1990_p4,0,True,True,False,0.01145844,0.0248112,11,11,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__aime_1990_p4__seed0/result.yaml,analysis/traces/training_v2_aime_1990_p4_0.json
training,v2,amc12a_2017_p7,0,True,True,False,0.0121018,0.0218794,8,8,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__amc12a_2017_p7__seed0/result.yaml,analysis/traces/training_v2_amc12a_2017_p7_0.json
training,v2,mathd_algebra_247,0,True,True,False,0.0033428599999999996,0.0085094,5,5,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_algebra_247__seed0/result.yaml,analysis/traces/training_v2_mathd_algebra_247_0.json
training,v2,mathd_numbertheory_35,0,True,True,False,0.00046886000000000003,0.001346,1,1,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_numbertheory_35__seed0/result.yaml,analysis/traces/training_v2_mathd_numbertheory_35_0.json
training,v2,imo_1983_p6,0,True,True,False,0.024141539999999996,0.0362802,11,11,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__imo_1983_p6__seed0/result.yaml,analysis/traces/training_v2_imo_1983_p6_0.json
training,v2,amc12a_2020_p13,0,False,False,False,0.03614856,0.065274,19,19,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__amc12a_2020_p13__seed0/result.yaml,analysis/traces/training_v2_amc12a_2020_p13_0.json
training,v2,mathd_algebra_28,0,True,True,False,0.00164332,0.0033975999999999998,2,2,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_algebra_28__seed0/result.yaml,analysis/traces/training_v2_mathd_algebra_28_0.json
training,v2,mathd_numbertheory_403,0,True,True,False,0.0005958599999999999,0.001473,1,1,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_numbertheory_403__seed0/result.yaml,analysis/traces/training_v2_mathd_numbertheory_403_0.json
training,v2,amc12b_2002_p11,0,False,False,False,0.0381126,0.1000326,24,24,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__amc12b_2002_p11__seed0/result.yaml,analysis/traces/training_v2_amc12b_2002_p11_0.json
training,v2,mathd_algebra_323,0,True,True,False,0.00249632,0.0042506,2,2,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_algebra_323__seed0/result.yaml,analysis/traces/training_v2_mathd_algebra_323_0.json
training,v2,mathd_numbertheory_42,0,True,True,False,0.0010136,0.0030151999999999996,2,2,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_numbertheory_42__seed0/result.yaml,analysis/traces/training_v2_mathd_numbertheory_42_0.json
training,v2,amc12b_2003_p17,0,True,True,False,0.00631428,0.013671599999999999,7,7,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__amc12b_2003_p17__seed0/result.yaml,analysis/traces/training_v2_amc12b_2003_p17_0.json
training,v2,mathd_algebra_37,0,True,True,False,0.0013415999999999999,0.0013415999999999999,1,1,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_algebra_37__seed0/result.yaml,analysis/traces/training_v2_mathd_algebra_37_0.json
training,v2,mathd_numbertheory_458,0,True,True,False,0.00277632,0.006238799999999999,4,4,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_numbertheory_458__seed0/result.yaml,analysis/traces/training_v2_mathd_numbertheory_458_0.json
training,v2,amc12b_2004_p3,0,True,True,False,0.01750772,0.0318836,11,11,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__amc12b_2004_p3__seed0/result.yaml,analysis/traces/training_v2_amc12b_2004_p3_0.json
training,v2,mathd_algebra_410,0,True,True,False,0.0026150399999999995,0.0077526,5,5,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_algebra_410__seed0/result.yaml,analysis/traces/training_v2_mathd_algebra_410_0.json
training,v2,mathd_numbertheory_48,0,True,True,False,0.009073860000000001,0.017655,8,8,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_numbertheory_48__seed0/result.yaml,analysis/traces/training_v2_mathd_numbertheory_48_0.json
training,v2,amc12_2000_p1,0,False,False,False,0.0386663,0.062356999999999996,19,19,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__amc12_2000_p1__seed0/result.yaml,analysis/traces/training_v2_amc12_2000_p1_0.json
training,v2,mathd_algebra_43,0,True,True,False,0.00050046,0.0013776,1,1,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_algebra_43__seed0/result.yaml,analysis/traces/training_v2_mathd_algebra_43_0.json
training,v2,mathd_numbertheory_629,0,False,False,False,0.037516539999999994,0.0574042,15,15,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__mathd_numbertheory_629__seed0/result.yaml,analysis/traces/training_v2_mathd_numbertheory_629_0.json
training,v2,amc12_2000_p6,0,True,True,False,0.01775186,0.0359738,14,14,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__amc12_2000_p6__seed0/result.yaml,analysis/traces/training_v2_amc12_2000_p6_0.json
training,v2,amc12a_2002_p13,0,True,True,False,0.00843798,0.0122034,4,4,experiments/output/ace_revision_20260913/training/configs/training__candidate__proof__amc12a_2002_p13__seed0/result.yaml,analysis/traces/training_v2_amc12a_2002_p13_0.json
validation,v2,imo_1960_p2,0,True,True,False,0.0018417,0.0038477999999999997,2,2,experiments/output/ace_revision_20260913/validation/configs/validation__candidate__proof__imo_1960_p2__seed0/result.yaml,analysis/traces/validation_v2_imo_1960_p2_0.json
validation,v2,aime_1991_p6,0,False,False,False,0.040106800000000005,0.07187679999999999,19,19,experiments/output/ace_revision_20260913/validation/configs/validation__candidate__proof__aime_1991_p6__seed0/result.yaml,analysis/traces/validation_v2_aime_1991_p6_0.json
validation,v2,amc12a_2008_p4,0,True,True,False,0.017590679999999997,0.0316872,14,14,experiments/output/ace_revision_20260913/validation/configs/validation__candidate__proof__amc12a_2008_p4__seed0/result.yaml,analysis/traces/validation_v2_amc12a_2008_p4_0.json
