id,stage,model,pid,created,reserved,charged,status,usage,cell
828579e355514dd0b7b45a09ee6cac1f,prover,gpt-5.6-luna,2670651,1789033141.734874,0.0506572,0.0014127999999999999,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56678, ""input_tokens"": 6218, ""input_tokens_details"": {""cache_write_tokens"": 6215, ""cached_tokens"": 0}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 141, ""output_tokens_details"": {""reasoning_tokens"": 96}, ""response_id"": ""resp_0ac5d7930caa820d006aa27ab6da0c87d19beb4e77fe364619"", ""status"": ""completed"", ""total_tokens"": 6359}",amc12a_2003_p1__prover-low-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0
d2fd95dc9b8b420a9e695317304da826,prover,gpt-5.6-luna,2670691,1789033141.7819903,0.050712799999999995,0.00092784,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56956, ""input_tokens"": 6420, ""input_tokens_details"": {""cache_write_tokens"": 1645, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 419, ""output_tokens_details"": {""reasoning_tokens"": 333}, ""response_id"": ""resp_0e57375e501b6ce7006aa27ab757e887d19b6a8f4e42c8e70a"", ""status"": ""completed"", ""total_tokens"": 6839}",induction_pord1p1on2powklt5on2__prover-low-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0
75d93266d45d44658877ad97ee1e8f70,prover,gpt-5.6-luna,2670681,1789033141.8064225,0.050643799999999996,0.0008650400000000001,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56611, ""input_tokens"": 6202, ""input_tokens_details"": {""cache_write_tokens"": 1427, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 403, ""output_tokens_details"": {""reasoning_tokens"": 266}, ""response_id"": ""resp_05d4aa9b31313d19006aa27ab70bbc87d19dd92791a585121a"", ""status"": ""completed"", ""total_tokens"": 6605}",amc12a_2002_p13__prover-high-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0
e0db26b37fde459a92d5f8c37a9e5d32,prover,gpt-5.6-luna,2670716,1789033141.823769,0.0505694,0.00050224,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56239, ""input_tokens"": 6044, ""input_tokens_details"": {""cache_write_tokens"": 1269, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 127, ""output_tokens_details"": {""reasoning_tokens"": 29}, ""response_id"": ""resp_0109386a5064de8e006aa27ab6f03887d181844b6fd5750e69"", ""status"": ""completed"", ""total_tokens"": 6171}",mathd_algebra_185__prover-low-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0
dba292b09a4446548a9eb46371567f1f,prover,gpt-5.6-luna,2670712,1789033141.8517349,0.0505262,0.0016244,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56023, ""input_tokens"": 5938, ""input_tokens_details"": {""cache_write_tokens"": 5935, ""cached_tokens"": 0}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 364, ""output_tokens_details"": {""reasoning_tokens"": 289}, ""response_id"": ""resp_07bec89e915effd9006aa27ab6f1d487d1b3fe264944208059"", ""status"": ""completed"", ""total_tokens"": 6302}",mathd_numbertheory_458__prover-xhigh-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0
2c53ccc7154c4dbeb44ed483bcd89c7b,prover,gpt-5.6-luna,2670672,1789033141.879968,0.0505934,0.00059684,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56359, ""input_tokens"": 6151, ""input_tokens_details"": {""cache_write_tokens"": 1376, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 188, ""output_tokens_details"": {""reasoning_tokens"": 65}, ""response_id"": ""resp_0043edbd2fb362f7006aa27ab6fac887d1abf37cdd63c538e4"", ""status"": ""completed"", ""total_tokens"": 6339}",amc12b_2003_p17__prover-medium-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0
d2d4f8e7432e4c2da08a598bc317b5e7,prover,gpt-5.6-luna,2670725,1789033141.9051576,0.050627399999999996,0.00068604,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56529, ""input_tokens"": 6069, ""input_tokens_details"": {""cache_write_tokens"": 1294, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 276, ""output_tokens_details"": {""reasoning_tokens"": 223}, ""response_id"": ""resp_08d6d8aab17b97d0006aa27ab725cc87d18e98e92bb49869cc"", ""status"": ""completed"", ""total_tokens"": 6345}",mathd_numbertheory_221__prover-high-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0
38c498958f0146a9ae4282e8ecea36d2,prover,gpt-5.6-luna,2670738,1789033141.920514,0.050543,0.00062264,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56107, ""input_tokens"": 5992, ""input_tokens_details"": {""cache_write_tokens"": 1217, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 236, ""output_tokens_details"": {""reasoning_tokens"": 159}, ""response_id"": ""resp_0caeaeae356f2601006aa27ab70dac87d18d8d3eddfc1f77eb"", ""status"": ""completed"", ""total_tokens"": 6228}",mathd_numbertheory_301__prover-high-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0
8afd44ccc3d74cf4a165eb814580ef3f,prover,gpt-5.6-luna,2670669,1789033141.9566634,0.0506572,0.00050944,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56678, ""input_tokens"": 6218, ""input_tokens_details"": {""cache_write_tokens"": 1443, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 104, ""output_tokens_details"": {""reasoning_tokens"": 61}, ""response_id"": ""resp_089accf0004f68e3006aa27ab8460c87d186d6e83b29fa64ae"", ""status"": ""completed"", ""total_tokens"": 6322}",amc12a_2003_p1__prover-medium-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0
b419bd0059e845159f191f3ca23094a8,prover,gpt-5.6-luna,2670734,1789033141.980501,0.050656,0.00054584,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56672, ""input_tokens"": 6196, ""input_tokens_details"": {""cache_write_tokens"": 1421, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 138, ""output_tokens_details"": {""reasoning_tokens"": 50}, ""response_id"": ""resp_0d738c353c5e4acb006aa27ab6ff7087d193e5bb0eebd70aeb"", ""status"": ""completed"", ""total_tokens"": 6334}",algebra_amgm_sum1toneqn_prod1tonleq1__prover-low-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0
