stage,arm,role,theorem,seed,success,qualified,platform_failed,cost
adaptation,candidate,curator,amc12b_2004_p3,0,True,False,False,0.0068485
adaptation,candidate,curator,induction_pord1p1on2powklt5on2,0,True,False,False,0.009149000000000001
adaptation,candidate,curator,aime_1984_p1,0,True,False,False,0.007140219999999999
adaptation,candidate,reducer,batch0,0,True,False,False,0.00408194
adaptation,candidate,reflector,amc12b_2004_p3,0,True,False,False,0.006416959999999999
adaptation,candidate,reflector,induction_pord1p1on2powklt5on2,0,True,False,False,0.0050545799999999995
adaptation,candidate,reflector,aime_1984_p1,0,True,False,False,0.00458486
adaptation,candidate,reflector,mathd_numbertheory_403,0,True,False,False,0.0018784
adaptation,candidate,curator,imo_1968_p5_1,0,True,False,False,0.007011399999999999
adaptation,candidate,curator,amc12a_2020_p13,0,True,False,False,0.00511
adaptation,candidate,reducer,batch1,0,True,False,False,0.0085109
adaptation,candidate,reflector,mathd_algebra_43,0,True,False,False,0.0021083
adaptation,candidate,reflector,imo_1968_p5_1,0,True,False,False,0.00538258
adaptation,candidate,reflector,amc12a_2020_p13,0,True,False,False,0.0063754599999999995
adaptation,candidate,reflector,mathd_numbertheory_326,0,True,False,False,0.002378
adaptation,candidate,curator,mathd_numbertheory_48,0,True,False,False,0.005356919999999999
adaptation,candidate,curator,amc12a_2003_p1,0,True,False,False,0.008117599999999999
adaptation,candidate,reducer,batch2,0,True,False,False,0.005882760000000001
adaptation,candidate,reflector,mathd_numbertheory_458,0,True,False,False,0.001849
adaptation,candidate,reflector,mathd_numbertheory_301,0,True,False,False,0.0022052
adaptation,candidate,reflector,mathd_numbertheory_48,0,True,False,False,0.00463476
adaptation,candidate,reflector,amc12a_2003_p1,0,True,False,False,0.00466264
adaptation,candidate,curator,mathd_algebra_185,0,True,False,False,0.0096206
adaptation,candidate,curator,amc12b_2003_p17,0,True,False,False,0.0083891
adaptation,candidate,curator,imo_1963_p5,0,True,False,False,0.0095876
adaptation,candidate,reducer,batch3,0,True,False,False,0.00619928
adaptation,candidate,reflector,mathd_algebra_185,0,True,False,False,0.006831879999999999
adaptation,candidate,reflector,amc12b_2003_p17,0,True,False,False,0.00530632
adaptation,candidate,reflector,imo_1963_p5,0,True,False,False,0.00479088
adaptation,candidate,reflector,mathd_algebra_410,0,True,False,False,0.00208206
adaptation,candidate,curator,imo_1967_p3,0,True,False,False,0.0046812
adaptation,candidate,curator,algebra_amgm_sum1toneqn_prod1tonleq1,0,True,False,False,0.0021696
adaptation,candidate,curator,mathd_numbertheory_629,0,True,False,False,0.0073544
adaptation,candidate,reducer,batch4,0,True,False,False,0.0033578600000000003
adaptation,candidate,reflector,imo_1967_p3,0,True,False,False,0.00597088
adaptation,candidate,reflector,algebra_amgm_sum1toneqn_prod1tonleq1,0,True,False,False,0.00564824
adaptation,candidate,reflector,amc12a_2016_p2,0,True,False,False,0.002043
adaptation,candidate,reflector,mathd_numbertheory_629,0,True,False,False,0.0049318999999999995
adaptation,candidate,curator,amc12a_2017_p7,0,True,False,False,0.004519199999999999
adaptation,candidate,curator,imo_1977_p6,0,True,False,False,0.007035
adaptation,candidate,curator,mathd_algebra_224,0,True,False,False,0.0068622
adaptation,candidate,reducer,batch5,0,True,False,False,0.0085224
adaptation,candidate,reflector,mathd_algebra_37,0,True,False,False,0.0023456799999999997
adaptation,candidate,reflector,amc12a_2017_p7,0,True,False,False,0.0046947199999999994
adaptation,candidate,reflector,imo_1977_p6,0,True,False,False,0.00499114
adaptation,candidate,reflector,mathd_algebra_224,0,True,False,False,0.00546704
adaptation,candidate,curator,amc12_2000_p6,0,True,False,False,0.0106496
adaptation,candidate,curator,aime_1988_p3,0,True,False,False,0.0098704
adaptation,candidate,curator,amc12a_2002_p13,0,True,False,False,0.0068352
adaptation,candidate,curator,amc12_2000_p1,0,True,False,False,0.006370000000000001
adaptation,candidate,reducer,batch6,0,True,False,False,0.01006414
adaptation,candidate,reflector,amc12_2000_p6,0,True,False,False,0.004601039999999999
adaptation,candidate,reflector,aime_1988_p3,0,True,False,False,0.00538702
adaptation,candidate,reflector,amc12a_2002_p13,0,True,False,False,0.0050718
adaptation,candidate,reflector,amc12_2000_p1,0,True,False,False,0.00341204
adaptation,candidate,curator,aime_1988_p8,0,True,False,False,0.0045008
adaptation,candidate,curator,mathd_algebra_323,0,True,False,False,0.0046018
adaptation,candidate,curator,amc12a_2013_p7,0,True,False,False,0.0042998
adaptation,candidate,reducer,batch7,0,True,False,False,0.01083794
adaptation,candidate,reflector,aime_1988_p8,0,True,False,False,0.0047145
adaptation,candidate,reflector,mathd_algebra_323,0,True,False,False,0.00477704
adaptation,candidate,reflector,mathd_numbertheory_42,0,True,False,False,0.0019417999999999998
adaptation,candidate,reflector,amc12a_2013_p7,0,True,False,False,0.00473234
adaptation,candidate,curator,imo_1983_p6,0,True,False,False,0.0109852
adaptation,candidate,curator,mathd_algebra_206,0,True,False,False,0.0066832
adaptation,candidate,reducer,batch8,0,True,False,False,0.00552922
adaptation,candidate,reflector,mathd_numbertheory_221,0,True,False,False,0.001878
adaptation,candidate,reflector,mathd_numbertheory_35,0,True,False,False,0.00222872
adaptation,candidate,reflector,imo_1983_p6,0,True,False,False,0.005211159999999999
adaptation,candidate,reflector,mathd_algebra_206,0,True,False,False,0.004482679999999999
adaptation,candidate,curator,amc12b_2002_p11,0,True,False,False,0.0053182
adaptation,candidate,curator,aime_1990_p4,0,True,False,False,0.013341599999999999
adaptation,candidate,curator,mathd_algebra_28,0,True,False,False,0.00491376
adaptation,candidate,curator,mathd_algebra_247,0,True,False,False,0.0064708
adaptation,candidate,reducer,batch9,0,True,False,False,0.011755459999999999
adaptation,candidate,reflector,amc12b_2002_p11,0,True,False,False,0.005371320000000001
adaptation,candidate,reflector,aime_1990_p4,0,True,False,False,0.0068422199999999996
adaptation,candidate,reflector,mathd_algebra_28,0,True,False,False,0.00476918
adaptation,candidate,reflector,mathd_algebra_247,0,True,False,False,0.00433978
training,candidate,proof,imo_1968_p5_1,0,False,False,False,0.03947068
training,control,proof,induction_pord1p1on2powklt5on2,0,True,True,False,0.03324866
training,control,proof,amc12_2000_p6,0,True,True,False,0.018907320000000002
training,control,proof,amc12_2000_p1,0,False,False,False,0.0364159
training,control,proof,mathd_numbertheory_326,0,True,True,False,0.0013162
training,control,proof,aime_1990_p4,0,True,True,False,0.015176160000000001
training,control,proof,amc12b_2004_p3,0,True,True,False,0.02557692
training,candidate,proof,amc12a_2017_p7,0,True,True,False,0.0121018
training,candidate,proof,mathd_numbertheory_458,0,True,True,False,0.00277632
training,candidate,proof,mathd_algebra_247,0,True,True,False,0.0033428599999999996
training,candidate,proof,mathd_algebra_37,0,True,True,False,0.0013415999999999999
training,candidate,proof,mathd_algebra_43,0,True,True,False,0.00050046
training,control,proof,mathd_numbertheory_48,0,True,True,False,0.01213742
training,control,proof,mathd_numbertheory_221,0,True,True,False,0.00055524
training,candidate,proof,amc12b_2003_p17,0,True,True,False,0.00631428
training,candidate,proof,mathd_algebra_28,0,True,True,False,0.00164332
training,candidate,proof,mathd_numbertheory_42,0,True,True,False,0.0010136
training,candidate,proof,amc12b_2002_p11,0,False,False,False,0.0381126
training,candidate,proof,mathd_numbertheory_221,0,True,True,False,0.00055726
