cell,stage,role,arm,theorem,seed,strategy_returned_value,solved,qualified,failed,cost,input,cached,output,reasoning,uncached_cost,requests,drops
validation__ace_coverage__proof__amc12a_2020_p21__seed1,validation,proof,ace_coverage,amc12a_2020_p21,1,False,False,False,False,0.04168932000000001,252858,146786,14616,10047,0.0681108,16,0
validation__ace_coverage__proof__mathd_algebra_393__seed0,validation,proof,ace_coverage,mathd_algebra_393,0,True,True,True,False,0.00468338,47785,36149,1361,726,0.011190199999999999,6,0
validation__ace_coverage__proof__aime_1991_p6__seed1,validation,proof,ace_coverage,aime_1991_p6,1,False,False,False,False,0.05796056,747994,623168,17110,9168,0.1701308,30,0
validation__ace_coverage__proof__imo_1984_p6__seed1,validation,proof,ace_coverage,imo_1984_p6,1,False,False,False,False,0.025033480000000004,215531,158544,8721,7149,0.0535714,19,0
validation__ace_coverage__proof__amc12a_2016_p3__seed1,validation,proof,ace_coverage,amc12a_2016_p3,1,True,True,True,False,0.00807748,51431,34724,3368,2124,0.0143278,6,0
validation__ace_coverage__proof__imo_1964_p2__seed0,validation,proof,ace_coverage,imo_1964_p2,0,True,True,True,False,0.02263452,151377,105296,9427,4552,0.0415878,13,0
validation__ace_coverage__proof__amc12b_2003_p6__seed0,validation,proof,ace_coverage,amc12b_2003_p6,0,True,True,True,False,0.00957686,71749,54203,4153,2177,0.0193334,8,0
validation__ace_coverage__proof__mathd_algebra_433__seed0,validation,proof,ace_coverage,mathd_algebra_433,0,True,True,True,False,0.00242528,28621,23074,712,414,0.0065785999999999996,4,0
validation__ace_coverage__proof__mathd_numbertheory_461__seed0,validation,proof,ace_coverage,mathd_numbertheory_461,0,True,True,True,False,0.0004453,6098,6095,269,183,0.0015424,1,0
validation__ace_coverage__proof__amc12a_2013_p8__seed1,validation,proof,ace_coverage,amc12a_2013_p8,1,True,True,True,False,0.012466059999999998,68735,42323,5281,3133,0.0200842,8,0
validation__ace_coverage__proof__aime_1991_p6__seed0,validation,proof,ace_coverage,aime_1991_p6,0,False,False,False,False,0.05974276,235136,107998,26796,11532,0.0791824,14,0
validation__ace_coverage__proof__amc12_2000_p12__seed1,validation,proof,ace_coverage,amc12_2000_p12,1,True,True,True,False,0.01599506,85417,63913,8680,6514,0.027499399999999997,9,0
validation__ace_coverage__proof__imo_1964_p2__seed1,validation,proof,ace_coverage,imo_1964_p2,1,False,False,False,False,0.06572959999999999,478102,284000,17691,7012,0.1168496,23,0
validation__ace_coverage__proof__imo_1984_p6__seed0,validation,proof,ace_coverage,imo_1984_p6,0,False,False,False,False,0.049656679999999995,1186600,1135094,13878,5463,0.25397359999999997,56,0
validation__ace_coverage__proof__mathd_algebra_327__seed0,validation,proof,ace_coverage,mathd_algebra_327,0,True,True,True,False,0.00133366,27785,26003,381,209,0.0060142,4,0
validation__ace_coverage__proof__aime_1991_p9__seed0,validation,proof,ace_coverage,aime_1991_p9,0,True,True,True,False,0.02025326,261607,232083,8089,4233,0.0620282,22,0
validation__ace_coverage__proof__mathd_numbertheory_37__seed1,validation,proof,ace_coverage,mathd_numbertheory_37,1,False,False,False,False,0.02882358,324528,252889,7865,4401,0.0743436,26,0
validation__ace_coverage__proof__amc12a_2016_p3__seed0,validation,proof,ace_coverage,amc12a_2016_p3,0,True,True,True,False,0.05676143999999999,414693,219902,11171,6514,0.0963438,24,0
validation__ace_coverage__proof__imo_1969_p2__seed1,validation,proof,ace_coverage,imo_1969_p2,1,False,False,False,False,0.05094753999999999,1344548,1289047,11722,8089,0.282976,62,0
validation__ace_coverage__proof__mathd_algebra_234__seed0,validation,proof,ace_coverage,mathd_algebra_234,0,True,True,True,False,0.00029458,6062,6059,144,97,0.0013852,1,0
validation__ace_coverage__proof__algebra_others_exirrpowirrrat__seed0,validation,proof,ace_coverage,algebra_others_exirrpowirrrat,0,False,False,False,False,0.06436723999999999,753973,593012,16929,11139,0.1711094,40,0
validation__ace_coverage__proof__mathd_numbertheory_37__seed0,validation,proof,ace_coverage,mathd_numbertheory_37,0,False,False,False,False,0.0278214,275700,193310,6231,3759,0.0626172,24,0
validation__ace_coverage__proof__imo_1981_p6__seed0,validation,proof,ace_coverage,imo_1981_p6,0,True,True,True,False,0.012107179999999999,82900,57909,4959,3038,0.0225308,8,0
validation__ace_coverage__proof__mathd_algebra_251__seed1,validation,proof,ace_coverage,mathd_algebra_251,1,True,True,True,False,0.00049628,6067,6064,312,232,0.0015877999999999999,1,0
