cell,stage,role,arm,theorem,seed,strategy_returned_value,solved,qualified,failed,cost,input,cached,output,reasoning,uncached_cost,requests,drops
learning__adapt__curator__amc12b_2004_p3__seed0,learning,curator,adapt,amc12b_2004_p3,0,True,,,False,0.01146446,68698,16453,572,331,0.014426,4,0
learning__adapt__curator__induction_pord1p1on2powklt5on2__seed0,learning,curator,adapt,induction_pord1p1on2powklt5on2,0,True,,,False,0.01090422,62829,15011,867,450,0.013606199999999999,4,0
learning__adapt__curator__aime_1984_p1__seed0,learning,curator,adapt,aime_1984_p1,0,True,,,False,0.049722199999999994,242857,0,959,510,0.049722199999999994,4,0
learning__adapt__reducer__batch00__seed0,learning,reducer,adapt,batch00,0,True,,,False,0.02119932,120501,28736,1893,1231,0.0263718,4,0
learning__adapt__reflector__amc12b_2004_p3__seed0,learning,reflector,adapt,amc12b_2004_p3,0,True,,,False,0.01080188,63595,14404,563,334,0.0133946,3,0
learning__adapt__reflector__induction_pord1p1on2powklt5on2__seed0,learning,reflector,adapt,induction_pord1p1on2powklt5on2,0,True,,,False,0.0110593,63740,14575,779,361,0.0136828,4,0
learning__adapt__reflector__aime_1984_p1__seed0,learning,reflector,adapt,aime_1984_p1,0,True,,,False,0.020046019999999998,121306,28771,803,559,0.0252248,4,0
learning__adapt__reflector__mathd_numbertheory_403__seed0,learning,reflector,adapt,mathd_numbertheory_403,0,True,,,False,0.0027216000000000002,12990,0,103,53,0.0027216000000000002,1,0
learning__adapt__curator__mathd_algebra_43__seed0,learning,curator,adapt,mathd_algebra_43,0,True,,,False,0.006284,28996,0,404,109,0.006284,2,0
learning__adapt__curator__imo_1968_p5_1__seed0,learning,curator,adapt,imo_1968_p5_1,0,True,,,False,0.015352000000000001,68084,0,1446,829,0.015352,4,0
learning__adapt__curator__amc12a_2020_p13__seed0,learning,curator,adapt,amc12a_2020_p13,0,True,,,False,0.007047059999999999,46527,14873,349,90,0.009724199999999999,3,0
learning__adapt__reducer__batch01__seed0,learning,reducer,adapt,batch01,0,True,,,False,0.010575020000000001,55939,16531,1969,1232,0.0135506,5,0
learning__adapt__reflector__mathd_algebra_43__seed0,learning,reflector,adapt,mathd_algebra_43,0,True,,,False,0.006386419999999999,40195,13041,579,324,0.0087338,3,0
learning__adapt__reflector__imo_1968_p5_1__seed0,learning,reflector,adapt,imo_1968_p5_1,0,True,,,False,0.009198959999999999,68352,31248,961,660,0.0148236,4,0
learning__adapt__reflector__amc12a_2020_p13__seed0,learning,reflector,adapt,amc12a_2020_p13,0,True,,,False,0.0076564599999999995,48302,14613,522,238,0.010286799999999999,3,0
