receipt,cell,model,created_utc,input,cached,output,reasoning,charged,repriced,uncached_cost
895444137e3444c085ed3601da518d83,learning__schema_candidate__schema__aime_1988_p3__seed0,gpt-5.6-luna,2026-09-17T09:48:31.889472+00:00,11292,0,398,291,0.0027359999999999997,0.0027359999999999997,0.0027359999999999997
a521598c80db411ead601a2e71f5fbdb,learning__schema_candidate__schema__amc12_2000_p6__seed0,gpt-5.6-luna,2026-09-17T09:48:31.909397+00:00,10739,0,695,176,0.0029818,0.0029818,0.0029818
991f711557f94015a38d9133025013a2,learning__schema_candidate__schema__amc12b_2003_p17__seed0,gpt-5.6-luna,2026-09-17T09:48:31.923647+00:00,10836,0,877,330,0.0032195999999999995,0.0032195999999999995,0.0032195999999999995
e6bfe0bab9b64f3f98afcc0a63d35dae,learning__schema_control__schema__aime_1990_p4__seed0,gpt-5.6-luna,2026-09-17T09:48:31.944355+00:00,13918,0,259,96,0.0030943999999999998,0.0030943999999999998,0.0030943999999999998
413464e4d84e4296905754f33b9a10e6,learning__schema_candidate__schema__aime_1990_p4__seed0,gpt-5.6-luna,2026-09-17T09:48:31.965174+00:00,14204,0,245,120,0.0031347999999999997,0.0031347999999999997,0.0031347999999999997
422675cf0a2847fe88c3a08e2b95a215,learning__schema_control__schema__amc12_2000_p6__seed0,gpt-5.6-luna,2026-09-17T09:48:31.972655+00:00,10453,0,783,457,0.0030302,0.0030302,0.0030302
7d1e52cf38b942eb8e46b09651782439,learning__schema_control__schema__aime_1988_p3__seed0,gpt-5.6-luna,2026-09-17T09:48:31.999182+00:00,11006,0,215,87,0.0024592,0.0024592,0.0024592
7083b0e544f1461aa635f6eab2a0ddec,learning__schema_control__schema__amc12b_2003_p17__seed0,gpt-5.6-luna,2026-09-17T09:48:32.025427+00:00,10550,0,591,302,0.0028192,0.0028192,0.0028192
45df8f83a1e34ba7a2be63600c434e4f,learning__schema_control__schema__imo_1983_p6__seed0,gpt-5.6-luna,2026-09-17T09:48:52.061070+00:00,11694,0,604,480,0.0030635999999999997,0.0030635999999999997,0.0030635999999999997
05bfa5ebabb5444aa7afe2daa58bc1d6,learning__schema_candidate__schema__amc12a_2020_p13__seed0,gpt-5.6-luna,2026-09-17T09:48:52.089474+00:00,11765,0,366,151,0.0027922,0.0027922,0.0027922
44edea0f3cef4c0293e895f7c230e457,learning__schema_control__schema__amc12a_2020_p13__seed0,gpt-5.6-luna,2026-09-17T09:48:52.102582+00:00,11479,0,440,220,0.0028237999999999996,0.0028237999999999996,0.0028237999999999996
4ad8ad14358a491ba2e467f33945e350,learning__schema_candidate__schema__imo_1983_p6__seed0,gpt-5.6-luna,2026-09-17T09:48:52.116248+00:00,11980,0,665,427,0.003194,0.003194,0.003194
421b8dc9a2384f34ae2ce91ca59cf3d0,learning__schema_candidate__schema__induction_pord1p1on2powklt5on2__seed0,gpt-5.6-luna,2026-09-17T09:48:52.126819+00:00,10665,0,548,420,0.0027906,0.0027906,0.0027906
