cell,theorem,stage,arm,seed,success,qualified_solve,platform_failed,cost,input_tokens,cached_input_tokens,output_tokens,model_requests,tool_advertised_requests,real_snippet_checks,snippet_rejected,snippet_open,snippet_completed,snippet_resource_exhausted,snippet_unknown,snippet_reused,snippet_requests,actual_book_requests,source
snippets-v1__mathd_algebra_323__training-A__seed0,mathd_algebra_323,training,A,0,True,True,False,0.005383440000000001,30441,10062,922,3,3,3,1,1,1,0,0,0,3,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__mathd_algebra_323__training-A__seed0
snippets-v1__amc12_2000_p1__training-A__seed0,amc12_2000_p1,training,A,0,True,True,False,0.0265416,81420,0,8548,6,6,1,0,1,0,0,0,0,1,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__amc12_2000_p1__training-A__seed0
snippets-v1__amc12b_2004_p3__training-A__seed0,amc12b_2004_p3,training,A,0,False,False,False,0.0374185,193199,89185,12360,15,15,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__amc12b_2004_p3__training-A__seed0
snippets-v1__amc12b_2003_p17__training-A__seed0,amc12b_2003_p17,training,A,0,True,True,False,0.008619660000000001,63792,30953,1194,6,6,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__amc12b_2003_p17__training-A__seed0
snippets-v1__mathd_algebra_224__training-A__seed0,mathd_algebra_224,training,A,0,False,False,False,0.03939488,258355,135854,10148,17,17,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__mathd_algebra_224__training-A__seed0
snippets-v1__aime_1988_p3__training-A__seed0,aime_1988_p3,training,A,0,False,False,False,0.04287404,269476,125482,9638,17,17,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__aime_1988_p3__training-A__seed0
snippets-v1__mathd_algebra_28__training-A__seed0,mathd_algebra_28,training,A,0,True,True,False,0.00728938,37427,9169,1212,4,4,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__mathd_algebra_28__training-A__seed0
snippets-v1__aime_1988_p8__training-A__seed0,aime_1988_p8,training,A,0,True,True,False,0.01557752,64411,11046,3903,5,5,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__aime_1988_p8__training-A__seed0
snippets-v1__amc12b_2002_p11__training-A__seed0,amc12b_2002_p11,training,A,0,False,False,False,0.040489859999999996,434331,332773,11269,22,22,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__amc12b_2002_p11__training-A__seed0
snippets-v1__mathd_numbertheory_629__training-A__seed0,mathd_numbertheory_629,training,A,0,False,False,False,0.0425423,193720,68065,13375,14,14,1,1,0,0,0,0,0,1,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__mathd_numbertheory_629__training-A__seed0
snippets-v1__induction_pord1p1on2powklt5on2__training-A__seed0,induction_pord1p1on2powklt5on2,training,A,0,False,False,False,0.040882199999999994,172293,30400,9913,12,12,2,1,2,0,0,0,0,3,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__induction_pord1p1on2powklt5on2__training-A__seed0
snippets-v1__imo_1983_p6__training-A__seed0,imo_1983_p6,training,A,0,True,True,False,0.031912220000000005,202936,98801,7591,13,13,2,1,1,0,0,0,0,2,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__imo_1983_p6__training-A__seed0
snippets-v1__aime_1984_p1__training-A__seed0,aime_1984_p1,training,A,0,False,False,False,0.04230512,222409,95606,12527,15,8,4,2,2,0,0,0,0,4,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__aime_1984_p1__training-A__seed0
snippets-v1__amc12a_2002_p13__training-A__seed0,amc12a_2002_p13,training,A,0,True,True,False,0.02191872,82575,16206,6934,6,6,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__amc12a_2002_p13__training-A__seed0
snippets-v1__mathd_numbertheory_42__training-A__seed0,mathd_numbertheory_42,training,A,0,True,True,False,0.00611978,40780,15639,649,4,4,2,0,1,1,0,0,0,2,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__mathd_numbertheory_42__training-A__seed0
snippets-v1__imo_1968_p5_1__training-A__seed0,imo_1968_p5_1,training,A,0,True,True,False,0.03408219999999999,193358,82730,8585,13,13,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__imo_1968_p5_1__training-A__seed0
snippets-v1__imo_1963_p5__training-A__seed0,imo_1963_p5,training,A,0,False,False,False,0.041821899999999995,304304,179185,11012,20,20,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__imo_1963_p5__training-A__seed0
snippets-v1__amc12a_2020_p13__training-A__seed0,amc12a_2020_p13,training,A,0,False,False,False,0.035568,252591,151930,10331,16,16,1,1,0,0,0,0,0,1,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__amc12a_2020_p13__training-A__seed0
snippets-v1__amc12a_2017_p7__training-A__seed0,amc12a_2017_p7,training,A,0,False,False,False,0.03798238,213140,76609,7620,13,13,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__amc12a_2017_p7__training-A__seed0
snippets-v1__aime_1990_p4__training-A__seed0,aime_1990_p4,training,A,0,True,True,False,0.02124476,118558,44778,4661,10,7,3,2,1,0,0,0,1,4,0,experiments/output/ace_snippets_20260913/training/configs/snippets-v1__aime_1990_p4__training-A__seed0
snippets-v1__aime_1991_p6__validation-A__seed0,aime_1991_p6,validation,A,0,False,False,False,0.035498999999999996,255111,155300,10359,12,12,2,1,1,0,0,0,0,2,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__aime_1991_p6__validation-A__seed0
snippets-v1__mathd_numbertheory_405__validation-A__seed0,mathd_numbertheory_405,validation,A,0,False,False,False,0.032642279999999996,113118,25574,12185,6,6,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_numbertheory_405__validation-A__seed0
