cell,request,receipt,output_limit,reserved_bound,charged,truncated,rejected
snippets-v1__mathd_algebra_323__training-A__seed0,1,51b6fe74411540ffb295768c060f55d8,32768,0.052813799999999994,0.0025322,False,False
snippets-v1__mathd_algebra_323__training-A__seed0,2,71898cc968d74aa993456ed6a411da70,32768,0.0532292,0.002349,False,False
snippets-v1__mathd_algebra_323__training-A__seed0,3,9212850eff7f42dfa7dd96e99de46646,32768,0.0540376,0.0005022399999999999,False,False
snippets-v1__amc12_2000_p1__training-A__seed0,1,53b6d2e768aa47b699609f05046bc43c,32768,0.052792399999999996,0.0026915999999999997,False,False
snippets-v1__amc12_2000_p1__training-A__seed0,2,f3580f0a229244ce9b093d93978dee8c,32768,0.053233199999999994,0.0048433999999999994,False,False
snippets-v1__amc12_2000_p1__training-A__seed0,3,4f1b0b0630c341ac8809d3c23ed25e78,32768,0.0543954,0.004814,False,False
snippets-v1__amc12_2000_p1__training-A__seed0,4,1763c7bfb8ce46b9a65923b234299d41,32768,0.0563276,0.0043136,False,False
snippets-v1__amc12_2000_p1__training-A__seed0,5,139c37b2f6a744688d41b4c3d3c49b2e,32768,0.058245,0.004774,False,False
snippets-v1__amc12_2000_p1__training-A__seed0,6,0e1cc8fbeab049e9b149590916792fd2,32768,0.060193399999999994,0.005105,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,1,db06f621ad354f2cb451802bb4eb15f8,32768,0.052728199999999996,0.0022031999999999998,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,2,5925a7474d5d444b805cc916d869138a,32768,0.0533636,0.00041986,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,3,34e9e9f87dc74a83be4e1502dbc42437,32768,0.053866199999999996,0.00033816,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,4,029bab8172dd42388f15e044575aa468,32768,0.0542656,0.00059668,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,5,ea4163f3ec914fa0bba6c08c3f1e803f,32768,0.054975399999999994,0.0003507,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,6,b0a585901be94f98ae625dcc469318bb,32768,0.05534939999999999,0.00206912,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,7,b86537e7d5ce4181ac9234a5f0e61600,32768,0.054384999999999996,0.004871199999999999,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,8,ca9d2f45642545b5b00e84e286448eeb,32768,0.055281,0.0035112,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,9,67fc202751964a40bce05ea164657cba,32768,0.056918399999999994,0.0006251799999999999,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,10,a405596798284d1a83b048ae093ebd54,32768,0.057388999999999996,0.0007570400000000001,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,11,c756b5d9b2254f35b1fc8297fcf1dd2e,32768,0.058198599999999996,0.00162156,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,12,bc57b427618c47d99eeaf9927975bf77,32768,0.056953,0.0043078,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,13,387663dee9bd4b949111cc20d4db384f,32768,0.058420599999999996,0.00541,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,14,48941250bb6f4a1e8187f3473c213dc6,32768,0.0596174,0.0048292,False,False
snippets-v1__amc12b_2004_p3__training-A__seed0,15,eb9f35af074f4c32b8e64b408160a5cd,32768,0.0613726,0.0055076,False,False
