id,stage,model,created,reserved,charged,status,cell,input_tokens,cached_tokens,output_tokens
df9b6256a1a44d23b75936d9a6b5bf0f,training,gpt-5.6-luna,1789321627.9402795,0.0192936,0.0010689999999999999,settled,writer-drafts-v1__aime_1984_p1__curator-control__seed0,4001,0,224
05769246ac1f4a2bb129c1836afc2724,training,gpt-5.6-luna,1789321627.9685087,0.020412399999999997,0.0015512,settled,writer-drafts-v1__amc12a_2020_p13__curator-control__seed0,6202,0,259
4b971e796c1146b19eec8e7d8aa54292,training,gpt-5.6-luna,1789321627.9856102,0.0196604,0.001187,settled,writer-drafts-v1__amc12b_2004_p3__curator-control__seed0,4549,0,231
f9d1e1994fbb4ceba9ecdbe56858d7ce,training,gpt-5.6-luna,1789321628.0046854,0.020483599999999998,0.0013496,settled,writer-drafts-v1__aime_1984_p1__curator-draft__seed0,5896,0,142
a551a21cc11d46fbb44041371ec75a53,training,gpt-5.6-luna,1789321628.0214744,0.019992999999999997,0.0013006,settled,writer-drafts-v1__amc12_2000_p1__curator-control__seed0,5201,0,217
83aadca91f4948d9879ee7da25551da4,training,gpt-5.6-luna,1789321628.0404763,0.021803,0.0019334,settled,writer-drafts-v1__amc12a_2020_p13__curator-draft__seed0,8575,0,182
3cbded1feeb542aebc6466da572600d9,training,gpt-5.6-luna,1789321628.0608845,0.0211832,0.0016139999999999998,settled,writer-drafts-v1__amc12_2000_p1__curator-draft__seed0,7104,0,161
d2fd39b7d2d2426d8ccd4ae4bab223d3,training,gpt-5.6-luna,1789321628.0886128,0.020813199999999997,0.0015205999999999998,settled,writer-drafts-v1__amc12b_2004_p3__curator-draft__seed0,6367,0,206
926fbecb3a544a62a86fc293d700f95d,training,gpt-5.6-luna,1789321632.523706,0.0212386,0.0020136,settled,writer-drafts-v1__aime_1984_p1__curator-draft__seed0,7470,0,433
5cb5f2fd05c445b787f8b50a44dd05ac,training,gpt-5.6-luna,1789321632.869796,0.0199388,0.00044136,settled,writer-drafts-v1__aime_1984_p1__curator-control__seed0,4299,3998,251
ce7d8846de064199b71989978267d7f6,training,gpt-5.6-luna,1789321632.8875551,0.0206384,0.00035835999999999995,settled,writer-drafts-v1__amc12_2000_p1__curator-control__seed0,5492,5198,163
ed2ef32126744792a3334fd2817ae194,training,gpt-5.6-luna,1789321632.9040492,0.021184599999999998,0.0017974,settled,writer-drafts-v1__amc12b_2004_p3__curator-draft__seed0,6929,0,343
3c8464cb87504bd69a0f610d399f36b0,training,gpt-5.6-luna,1789321632.931241,0.021851999999999996,0.00038862,settled,writer-drafts-v1__amc12_2000_p1__curator-draft__seed0,7656,7101,113
4f5d46e748084716a85802a253fd0ea9,training,gpt-5.6-luna,1789321633.002781,0.022711,0.0027134,settled,writer-drafts-v1__amc12a_2020_p13__curator-draft__seed0,10201,0,561
57a55b7baba348af8d998208afbf9973,training,gpt-5.6-luna,1789321633.1194468,0.0203116,0.00036012,settled,writer-drafts-v1__amc12b_2004_p3__curator-control__seed0,4854,4546,173
16d63b808949406b8fad3456b161d580,training,gpt-5.6-luna,1789321634.6343071,0.023818,0.0026382,settled,writer-drafts-v1__batch0__reducer-control__seed0,12135,0,176
5804ce8b57a84cfab0779fce6049aff0,training,gpt-5.6-luna,1789321635.407647,0.021899799999999997,0.0021492,settled,writer-drafts-v1__amc12_2000_p1__curator-draft__seed0,8298,0,408
de9c3aa5e98445bd862b6f792e1f53b1,training,gpt-5.6-luna,1789321636.5941465,0.020877,0.00044701999999999996,settled,writer-drafts-v1__amc12b_2004_p3__curator-control__seed0,5101,4851,250
cf4e6564f9a344339b820e4fea50c308,training,gpt-5.6-luna,1789321636.6276703,0.0206384,0.00033991999999999996,settled,writer-drafts-v1__aime_1984_p1__curator-control__seed0,4624,4296,157
623b599fb125418bbb8da9b3c5258bd8,training,gpt-5.6-luna,1789321637.3781862,0.025640399999999997,0.0037681999999999998,settled,writer-drafts-v1__batch0__reducer-draft__seed0,15301,0,590
6007b873c5fb4ff995f2975466e320f9,training,gpt-5.6-luna,1789321638.9448092,0.0198824,0.001261,settled,writer-drafts-v1__aime_1984_p1__curator-control__seed0,4457,0,308
3d12a672f2f648b4b13d9a84e83a44c7,training,gpt-5.6-luna,1789321639.4727492,0.021085399999999997,0.0018403999999999998,settled,writer-drafts-v1__imo_1968_p5_1__curator-draft__seed0,7444,0,293
f5dbebf997bc410b8e941936c23a916f,training,gpt-5.6-luna,1789321639.5782835,0.0198252,0.0013391999999999998,settled,writer-drafts-v1__imo_1968_p5_1__curator-control__seed0,5322,0,229
2b4f654d16054c298e5f924f5ec9c21a,training,gpt-5.6-luna,1789321639.6650803,0.0201686,0.0013526,settled,writer-drafts-v1__mathd_algebra_224__curator-control__seed0,5551,0,202
63fb50d4c225496b8b245e38283ef078,training,gpt-5.6-luna,1789321640.32607,0.0202306,0.0013212,settled,writer-drafts-v1__amc12b_2004_p3__curator-control__seed0,4998,0,268
c4e05016da5d47e79c03c6adcefdd100,training,gpt-5.6-luna,1789321640.6121757,0.022171999999999997,0.002163,settled,writer-drafts-v1__amc12_2000_p1__curator-draft__seed0,8559,0,376
9c5e8c0d977c487683b043efe92ca20a,training,gpt-5.6-luna,1789321641.316775,0.0213696,0.0019097999999999997,settled,writer-drafts-v1__mathd_algebra_224__curator-draft__seed0,7437,0,352
1cf09c36a95b42afbb7274a626e0ca51,training,gpt-5.6-luna,1789321642.720753,0.0207868,0.00037436,settled,writer-drafts-v1__mathd_algebra_224__curator-control__seed0,5827,5548,173
f0379cae1eed4c5fb9ce4608b84a868b,training,gpt-5.6-luna,1789321644.087426,0.019415599999999998,0.0010299999999999999,settled,writer-drafts-v1__mathd_algebra_28__curator-draft__seed0,4220,0,155
4ff3b63aae0343399a6ddd6ed5c9fb70,training,gpt-5.6-luna,1789321644.4301984,0.019096799999999997,0.0010364,settled,writer-drafts-v1__mathd_algebra_28__curator-control__seed0,3706,0,246
23d2071da86447d09910afaebe0d7f8a,training,gpt-5.6-luna,1789321645.1388907,0.019246,0.0009812,settled,writer-drafts-v1__mathd_numbertheory_629__curator-control__seed0,3898,0,168
d4628e0086174711b97537d6d24e1d1e,training,gpt-5.6-luna,1789321645.4812245,0.0203918,0.0012906,settled,writer-drafts-v1__mathd_numbertheory_629__curator-draft__seed0,5685,0,128
59c3bf60afa149dda94ed4d4c11d5c33,training,gpt-5.6-luna,1789321645.8485403,0.023619799999999996,0.0029449999999999997,settled,writer-drafts-v1__batch1__reducer-draft__seed0,12145,0,430
e1f5cfcffb1d481d95f64af405b0a522,training,gpt-5.6-luna,1789321646.641008,0.0223924,0.00050588,settled,writer-drafts-v1__mathd_algebra_224__curator-draft__seed0,8356,7434,144
0e97906ce7dd4e8ab24cfeac38aa3048,training,gpt-5.6-luna,1789321646.8499112,0.0273796,0.0049483999999999995,settled,writer-drafts-v1__batch0__reducer-draft__seed0,18730,0,1002
b0a129fb444f41bcb347f4a2bc52dc8c,training,gpt-5.6-luna,1789321646.946231,0.022795199999999998,0.0025794,settled,writer-drafts-v1__batch1__reducer-control__seed0,10659,0,373
fdd71a0ff8624b6c87c3ad679526d98e,training,gpt-5.6-luna,1789321647.5616097,0.020076999999999998,0.00047174,settled,writer-drafts-v1__mathd_algebra_28__curator-draft__seed0,4780,4217,229
50dcd7ca536442a2925006dd5ff4b750,training,gpt-5.6-luna,1789321647.8124797,0.0197918,0.00040626,settled,writer-drafts-v1__mathd_algebra_28__curator-control__seed0,4026,3703,223
584502883ad74965a7dbc05aa14a3b5e,training,gpt-5.6-luna,1789321648.1588364,0.0209096,0.00055744,settled,writer-drafts-v1__mathd_numbertheory_629__curator-draft__seed0,5975,5682,321
bdb97ccf4e2c40f497c15c8dc567beec,training,gpt-5.6-luna,1789321648.89424,0.022740999999999997,0.0024698,settled,writer-drafts-v1__mathd_algebra_224__curator-draft__seed0,9625,0,454
5748923daa1b4aecbfef2e83127da02d,training,gpt-5.6-luna,1789321650.6430836,0.0204376,0.00044045999999999994,settled,writer-drafts-v1__mathd_algebra_28__curator-control__seed0,4323,4023,250
504cbea7637d4bee89fb42f873053ee4,training,gpt-5.6-luna,1789321650.9646661,0.0201258,0.0024402,settled,writer-drafts-v1__mathd_algebra_28__curator-draft__seed0,5445,0,1126
fb76d845b0574dd194381f0e3be1c8a2,training,gpt-5.6-luna,1789321652.6864426,0.023644,0.00092712,settled,writer-drafts-v1__batch1__reducer-control__seed0,11106,10656,520
c27dc3b619bc4fdc89b003068bd41a72,training,gpt-5.6-luna,1789321653.3230119,0.0244614,0.0034955999999999997,settled,writer-drafts-v1__batch1__reducer-draft__seed0,13632,0,641
54cc6831faf44020af945743de815962,training,gpt-5.6-luna,1789321653.8518307,0.0197174,0.0011198,settled,writer-drafts-v1__mathd_algebra_28__curator-control__seed0,4183,0,236
18e376156a0d4a2e873037d09a23b6ac,training,gpt-5.6-luna,1789321654.4984596,0.0230092,0.0024578,settled,writer-drafts-v1__mathd_algebra_224__curator-draft__seed0,9859,0,405
451584dd67084297aee19d66cedcdb97,training,gpt-5.6-luna,1789321656.4007828,0.0290512,0.00128634,settled,writer-drafts-v1__batch0__reducer-draft__seed0,19806,18727,580
4afec7bdc3ea4e61a36d81b2ce8dcb2c,training,gpt-5.6-luna,1789321659.1849756,0.024723799999999997,0.00060786,settled,writer-drafts-v1__batch1__reducer-control__seed0,11700,11103,222
68674e32212b46df992aa561c829e6c7,training,gpt-5.6-luna,1789321660.7739341,0.025689,0.00091398,settled,writer-drafts-v1__batch1__reducer-draft__seed0,14400,13629,406
bb0cd130dea442f39628618d08ca3864,training,gpt-5.6-luna,1789321662.0232863,0.0300478,0.00150066,settled,writer-drafts-v1__batch0__reducer-draft__seed0,20460,19803,811
215d63d584b94f8ea77c0dbc6cc4c42e,training,gpt-5.6-luna,1789321663.2424612,0.0235102,0.0027126,settled,writer-drafts-v1__batch1__reducer-control__seed0,11223,0,390
5521795dc7af4d9f840a6e22b7135f87,training,gpt-5.6-luna,1789321663.790024,0.0204776,0.0015312,settled,writer-drafts-v1__mathd_algebra_28__curator-draft__seed0,5622,0,339
6cb6f22325d34925bf617528856f8d90,training,gpt-5.6-luna,1789321664.3582537,0.0264796,0.0011789399999999998,settled,writer-drafts-v1__batch1__reducer-draft__seed0,14880,14397,662
0468d7fa94bc42d2b6072e3783f7869d,followup,gpt-5.6-luna,1789322152.5155604,0.0212914,0.0017941999999999997,settled,writer-receipts-v2__amc12_2000_p1__curator__seed0,7213,0,293
e9e2c800a0ed475d84819f73d8916e07,followup,gpt-5.6-luna,1789322152.5476894,0.0219116,0.0019914,settled,writer-receipts-v2__amc12a_2020_p13__curator__seed0,8685,0,212
c57fe5da06894f54b062d906adfc3402,followup,gpt-5.6-luna,1789322152.5659468,0.025769999999999998,0.004074599999999999,settled,writer-receipts-v2__batch0__reducer__seed0,15453,0,820
e1c73caf988b496aba21abf524285b06,followup,gpt-5.6-luna,1789322152.5808666,0.0205916,0.0016939999999999998,settled,writer-receipts-v2__aime_1984_p1__curator__seed0,6004,0,411
b25bdc31eb0740ccaacb130931230c4b,followup,gpt-5.6-luna,1789322152.599196,0.0211936,0.0017123999999999998,settled,writer-receipts-v2__imo_1968_p5_1__curator__seed0,7554,0,168
e94493377d0d46e093d4a80a04600283,followup,gpt-5.6-luna,1789322152.6139314,0.019524399999999997,0.0013252,settled,writer-receipts-v2__mathd_algebra_28__curator__seed0,4328,0,383
f8115929788e4ddf9aeaeb852b139e6a,followup,gpt-5.6-luna,1789322152.6259527,0.0209216,0.001617,settled,writer-receipts-v2__amc12b_2004_p3__curator__seed0,6477,0,268
e51152a7690e4eabb139b772bbf214fa,followup,gpt-5.6-luna,1789322152.6401649,0.0214786,0.001803,settled,writer-receipts-v2__mathd_algebra_224__curator__seed0,7545,0,245
f3a38bdd0b7b4c6da06f992123b58a34,followup,gpt-5.6-luna,1789322157.0367048,0.0215724,0.0018679999999999999,settled,writer-receipts-v2__imo_1968_p5_1__curator__seed0,8284,0,176
0c4d39f707ba49e5ab83fc94aeae73bf,followup,gpt-5.6-luna,1789322158.0966368,0.022835599999999998,0.0025056,settled,writer-receipts-v2__amc12a_2020_p13__curator__seed0,10326,0,367
0eff10abf0b248239a4d24e7510a5979,followup,gpt-5.6-luna,1789322158.1826365,0.0211902,0.0016542,settled,writer-receipts-v2__amc12b_2004_p3__curator__seed0,6807,0,244
d881b267601c4f32ba7b11cdb1096071,followup,gpt-5.6-luna,1789322158.7600534,0.0205018,0.0013063999999999999,settled,writer-receipts-v2__mathd_numbertheory_629__curator__seed0,5794,0,123
f77645af82984d72abed1e658caa8c0c,followup,gpt-5.6-luna,1789322159.1805463,0.02162,0.0019118,settled,writer-receipts-v2__amc12_2000_p1__curator__seed0,7693,0,311
2a98555dcfa24629a731952d6390ca43,followup,gpt-5.6-luna,1789322159.2235868,0.020490599999999998,0.0003865,settled,writer-receipts-v2__mathd_algebra_28__curator__seed0,4877,4325,158
2733fe6b1fa848199c147086cd29f607,followup,gpt-5.6-luna,1789322159.5527596,0.0209298,0.0015386,settled,writer-receipts-v2__aime_1984_p1__curator__seed0,6439,0,209
c5d7f446fe854547aae5e6582e59f3b8,followup,gpt-5.6-luna,1789322159.969745,0.0221378,0.002361,settled,writer-receipts-v2__imo_1968_p5_1__curator__seed0,9423,0,397
49354d45fe7c40b997c9c13f90af2113,followup,gpt-5.6-luna,1789322161.8950806,0.020692,0.001344,settled,writer-receipts-v2__mathd_numbertheory_629__curator__seed0,6036,0,114
51a14c99c28c4d9ca2418e4aa5aa0967,followup,gpt-5.6-luna,1789322162.4659874,0.0215794,0.0021101999999999996,settled,writer-receipts-v2__amc12b_2004_p3__curator__seed0,7401,0,525
87040b8cec00473087a733b74d3a524d,followup,gpt-5.6-luna,1789322162.943035,0.0237522,0.0032893999999999996,settled,writer-receipts-v2__batch1__reducer__seed0,12295,0,692
2862c9db402f40d29b9d47b3b2036d25,followup,gpt-5.6-luna,1789322162.9603882,0.0217052,0.0020521999999999997,settled,writer-receipts-v2__aime_1984_p1__curator__seed0,8029,0,372
e015b0ff65b54937b3c3d31c886c46da,followup,gpt-5.6-luna,1789322163.3811958,0.027274399999999997,0.0048382,settled,writer-receipts-v2__batch0__reducer__seed0,18047,0,1024
f0542224c530439395ed484f42bd7b8b,followup,gpt-5.6-luna,1789322164.2097514,0.0212132,0.00046146,settled,writer-receipts-v2__mathd_numbertheory_629__curator__seed0,6321,6033,236
09d4723ee59e4e9c8d74deb37803a4e7,followup,gpt-5.6-luna,1789322168.083215,0.0209374,0.0018132,settled,writer-receipts-v2__mathd_numbertheory_629__curator__seed0,6372,0,449
8461bfd7b3704c94b492e2cd50f6386f,followup,gpt-5.6-luna,1789322169.2224658,0.0219054,0.0018801999999999998,settled,writer-receipts-v2__amc12b_2004_p3__curator__seed0,7691,0,285
