theorem,old_nonace_source,old_nonace_cost,old_nonace_uncached,old_nonace_cached,old_nonace_input,old_nonace_output,old_nonace_solved,old_nonace_requests,old_nonace_book_sha256,old_x3_source,old_x3_cost,old_x3_uncached,old_x3_cached,old_x3_input,old_x3_output,old_x3_solved,old_x3_requests,old_x3_book_sha256,old_x3_seed1_source,old_x3_seed1_cost,old_x3_seed1_uncached,old_x3_seed1_cached,old_x3_seed1_input,old_x3_seed1_output,old_x3_seed1_solved,old_x3_seed1_requests,old_x3_seed1_book_sha256,old_saving,nonace_ordinary_solves,nonace_ordinary_mean_cost,nonace_matched_solves,nonace_matched_mean_cost,ace_historical_solves,ace_historical_mean_cost
imo_1960_p2,experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,0.0391854,0.0793164,222950,342450,9022,False,24,12ae32cb1ec02d01eda3581b127c1fee3b0dc53572ed6baf239721a03d82e126,experiments/output/ace_polish_validation/configs/imo_1960_p2__reference-r64__gpt-5.6-luna__seed0,0.00632444,0.012938,36742,47752,2823,True,6,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,experiments/output/ace_polish_validation/configs/imo_1960_p2__reference-r64__gpt-5.6-luna__seed1,0.0088124,0.01652,42820,60892,3618,True,7,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,0.03286096,2,0.039172229999999995,2,0.014065919999999999,2,0.00509873
amc12b_2002_p3,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12b_2002_p3__luna-none-medium__gpt-5.6-luna__seed0,0.03719388,0.0699834,182164,265455,14077,False,20,12ae32cb1ec02d01eda3581b127c1fee3b0dc53572ed6baf239721a03d82e126,experiments/output/ace_polish_validation/configs/amc12b_2002_p3__reference-r64__gpt-5.6-luna__seed0,0.005691659999999999,0.0111354,30243,39957,2620,True,5,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,experiments/output/ace_polish_validation/configs/amc12b_2002_p3__reference-r64__gpt-5.6-luna__seed1,0.00526412,0.0131528,43826,52396,2228,True,6,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,0.03150222,2,0.007203289999999999,2,0.00629227,2,0.009706300000000001
mathd_numbertheory_37,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_37__luna-none-medium__gpt-5.6-luna__seed0,0.03252764,0.058226599999999996,142772,252901,6372,False,23,12ae32cb1ec02d01eda3581b127c1fee3b0dc53572ed6baf239721a03d82e126,experiments/output/ace_polish_validation/configs/mathd_numbertheory_37__reference-r64__gpt-5.6-luna__seed0,0.018928359999999998,0.059517999999999995,225498,255428,7027,False,23,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,experiments/output/ace_polish_validation/configs/mathd_numbertheory_37__reference-r64__gpt-5.6-luna__seed1,0.0349318,0.0741718,218000,308345,10419,False,25,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,0.013599279999999998,0,0.02272037,0,0.02257671,0,0.02525156
aime_1984_p7,experiments/output/ace_attribution_20260912/validation/luna-none/configs/aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0,0.033174659999999995,0.037398,23463,101334,14276,True,9,12ae32cb1ec02d01eda3581b127c1fee3b0dc53572ed6baf239721a03d82e126,experiments/output/ace_polish_validation/configs/aime_1984_p7__reference-r64__gpt-5.6-luna__seed0,0.02100072,0.038298,96096,113952,12923,True,11,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,experiments/output/ace_polish_validation/configs/aime_1984_p7__reference-r64__gpt-5.6-luna__seed1,0.03016264,0.049192599999999996,105722,167507,13076,True,12,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,0.012173939999999994,1,0.03572848,1,0.05560074999999999,0,0.06384558
amc12a_2008_p4,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,0.020060619999999998,0.031190199999999998,61831,107807,8024,True,14,12ae32cb1ec02d01eda3581b127c1fee3b0dc53572ed6baf239721a03d82e126,experiments/output/ace_polish_validation/configs/amc12a_2008_p4__reference-r64__gpt-5.6-luna__seed0,0.0091323,0.0204408,62825,85350,2809,True,10,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,experiments/output/ace_polish_validation/configs/amc12a_2008_p4__reference-r64__gpt-5.6-luna__seed1,0.02054932,0.0357586,84496,135887,7151,True,14,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,0.010928319999999998,2,0.01131331,2,0.05960802999999999,2,0.024474489999999998
mathd_algebra_251,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_251__luna-none-medium__gpt-5.6-luna__seed0,0.00682706,0.0153272,47223,59416,2870,True,11,12ae32cb1ec02d01eda3581b127c1fee3b0dc53572ed6baf239721a03d82e126,experiments/output/ace_polish_validation/configs/mathd_algebra_251__reference-r64__gpt-5.6-luna__seed0,0.00034186000000000004,0.0014152,5963,5966,185,True,1,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,experiments/output/ace_polish_validation/configs/mathd_algebra_251__reference-r64__gpt-5.6-luna__seed1,0.00076264,0.0016216,4772,5966,357,True,1,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,0.0064852,2,0.00368966,2,0.0044266999999999996,2,0.0047937
aime_1991_p9,experiments/output/ace_attribution_20260912/validation/luna-none/configs/aime_1991_p9__luna-none-medium__gpt-5.6-luna__seed0,0.04211476,0.0707452,159058,281462,12044,False,26,12ae32cb1ec02d01eda3581b127c1fee3b0dc53572ed6baf239721a03d82e126,experiments/output/ace_polish_validation/configs/aime_1991_p9__reference-r64__gpt-5.6-luna__seed0,0.0356527,0.0724204,204265,299666,10406,True,23,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,experiments/output/ace_polish_validation/configs/aime_1991_p9__reference-r64__gpt-5.6-luna__seed1,0.04051352,0.0676334,150666,246655,15252,False,21,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,0.006462059999999999,2,0.02430978,1,0.06178989,0,0.062379729999999994
amc12_2001_p21,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12_2001_p21__luna-none-medium__gpt-5.6-luna__seed0,0.0446155,0.0635452,105165,225368,15393,False,22,12ae32cb1ec02d01eda3581b127c1fee3b0dc53572ed6baf239721a03d82e126,experiments/output/ace_polish_validation/configs/amc12_2001_p21__reference-r64__gpt-5.6-luna__seed0,0.03846148,0.100591,345164,409067,15648,False,35,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,experiments/output/ace_polish_validation/configs/amc12_2001_p21__reference-r64__gpt-5.6-luna__seed1,0.02169302,0.0399956,101681,147652,8721,True,15,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,0.006154020000000003,0,0.04147402,0,0.023337269999999997,1,0.03145447
imo_1984_p6,experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1984_p6__luna-none-medium__gpt-5.6-luna__seed0,0.03900012,0.077289,212716,329607,9473,False,24,12ae32cb1ec02d01eda3581b127c1fee3b0dc53572ed6baf239721a03d82e126,experiments/output/ace_polish_validation/configs/imo_1984_p6__reference-r64__gpt-5.6-luna__seed0,0.03317128,0.07207,216104,285968,12397,False,20,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,experiments/output/ace_polish_validation/configs/imo_1984_p6__reference-r64__gpt-5.6-luna__seed1,0.038371999999999996,0.09241519999999999,300240,398992,10514,False,27,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,0.005828840000000002,0,0.04056656,0,0.037306809999999996,0,0.052214039999999996
mathd_numbertheory_530,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_530__luna-none-medium__gpt-5.6-luna__seed0,0.04096698,0.0785148,208599,325944,11105,False,24,12ae32cb1ec02d01eda3581b127c1fee3b0dc53572ed6baf239721a03d82e126,experiments/output/ace_polish_validation/configs/mathd_numbertheory_530__reference-r64__gpt-5.6-luna__seed0,0.035738439999999996,0.0787768,239102,336170,9619,False,20,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,experiments/output/ace_polish_validation/configs/mathd_numbertheory_530__reference-r64__gpt-5.6-luna__seed1,0.04194104,0.0878144,254852,355876,13866,False,22,8a1af9956fa1de8341779cd6e6cf3be6c3986cd207b72881884087552a9e3f1a,0.005228540000000004,0,0.03823731,0,0.06441985,0,0.06310989
