ledger,cell,receipt,date,stage,charged,uncached,input,cached,output
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,c06e98f4f5ed40099fb582e6345dca14,2026-09-12,luna,0.0006733399999999999,0.0011426,3979,2607,289
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,4e1b2351b834464f8d37ead8f6e0a080,2026-09-12,luna,0.00126252,0.0019782,5985,3976,651
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,8f5111c98bea4beda7ac243ae0b5aa5a,2026-09-12,luna,0.00102754,0.0014968,6488,2607,166
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,c16b766aafd749ef9efe14c7eeccc09c,2026-09-12,luna,0.0006181,0.0017854,6923,6485,334
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,f71670bd40654530a7d410146b093a1a,2026-09-12,luna,0.0006514,0.0018969999999999998,7889,6920,266
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,f909cb40374c437daed5353ff09a85c4,2026-09-12,luna,0.0015135399999999999,0.0019828,8090,2607,304
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,2cb2f9e33e514beea286c1e7c01753eb,2026-09-12,luna,0.00037234,0.001828,8516,8087,104
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,2fe1f214363c4d47a4dab1068cc5da6c,2026-09-12,luna,0.00095926,0.0024916,12014,8513,74
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,675e0562150c49d0ab6c9b25803fd5b0,2026-09-12,luna,0.00059622,0.0027581999999999997,12135,12011,276
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,9ffcfa7f43724fba89d51675ffca89b4,2026-09-12,luna,0.00268634,0.0031556,14686,2607,182
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,056021d796de490bb5b661b12a07f17e,2026-09-12,luna,0.00047786,0.0031208,14914,14683,115
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,8665951c4b1341df829cbf789c52a2e5,2026-09-12,luna,0.00053482,0.0032188,15074,14911,170
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,f8f0bbe0475d412aa66fe865ed8eac5e,2026-09-12,luna,0.00067102,0.0033838,15761,15071,193
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,7c7149106bab4196bb019d1028ed425d,2026-09-12,luna,0.00067156,0.003508,17000,15758,90
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,1294c9c1e43c41ce978e8d06847eca23,2026-09-12,luna,0.00054314,0.0036025999999999996,17137,16997,146
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,a9eea6ca80af4381bb6cdb8bcce12cc8,2026-09-12,luna,0.0012722799999999998,0.0043564,17828,17134,659
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,8e68c85b413b476d9dead4d83a4d3565,2026-09-12,luna,0.00359714,0.0040663999999999995,16156,2607,696
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,a4931ddbf3af4f5aa408c00e60a01fab,2026-09-12,luna,0.00361694,0.0040862,17143,2607,548
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,73fb456866fd419cbefa978b0676ace2,2026-09-12,luna,0.0011278,0.004213,18167,17140,483
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,6c8f459a9b1e4f84a5b411f53e20415e,2026-09-12,luna,0.00418994,0.0046592,19414,2607,647
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,6ddca5f3bc614d6cab7933ab2f32f4fa,2026-09-12,luna,0.00446354,0.004932799999999999,20302,2607,727
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,263c4c654cff4c4ab322bb0ba388a70b,2026-09-12,luna,0.0011607800000000001,0.0048146000000000005,21505,20299,428
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,da5561d576f44763aef54868db449314,2026-09-12,luna,0.00151944,0.0053898,22431,21502,753
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,af75f65c470f49b1bbc4f4082cf11ff6,2026-09-12,luna,0.00497854,0.0054478,22913,2607,721
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,2055ceeb77434841af98db12646afb9d,2026-09-12,luna,0.00043213999999999997,0.0009013999999999999,4207,2607,50
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,dd85bb50573546c3ba843ed39e9fcae4,2026-09-12,luna,0.00047167999999999993,0.0012284,5446,4204,116
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,0ef1368aa0e3407f8f864be75259232c,2026-09-12,luna,0.00048926,0.0014689999999999998,6241,5443,184
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,a58472092747489db21efd5995af3718,2026-09-12,luna,0.00057716,0.0016999999999999997,6880,6238,270
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,8f8b9441db874b7f9d1d905c4b300e45,2026-09-12,luna,0.0014625399999999998,0.0019317999999999998,8645,2607,169
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,eebc6eaeeb9c4573b90c4520b1f2f777,2026-09-12,luna,0.0018524400000000001,0.0034079999999999996,15288,8642,292
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,99b6d373e6f948a889ad99df6208fdb7,2026-09-12,luna,0.0036197,0.006371,22495,15285,1560
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,f075db620ffa474d955ae760fb1d8a33,2026-09-12,luna,0.00387784,0.0079264,30866,22492,1461
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,f65a7f016dab4a16b6c8ce0a080c07f8,2026-09-12,luna,0.00820434,0.0086736,31566,2607,1967
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,da0d42e911d74e94b4517eefad3a8dc5,2026-09-12,luna,0.00694074,0.00741,35922,2607,188
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,bdead2b45e644e8db4b7545ec1a89f9e,2026-09-12,luna,0.0036421799999999996,0.0101076,42978,35919,1260
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,e8bd0379d78e491ea441dc20f6841317,2026-09-12,luna,0.0008431399999999999,0.0013124,4030,2607,422
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,e5629d4658d3466fb3180e1a7aa34766,2026-09-12,luna,0.00046073999999999996,0.0011856,4764,4027,194
