stage,arm,stopping_allowance,n,solves,mean_solves_per_40,all_attempt_cost,all_attempt_cost_lower,all_attempt_cost_upper,invoice_exact,mean_cost_per_40,cost_per_solve,baseline,saving_vs_same_cap,saving_vs_same_cap_interval,solve_difference_vs_same_cap,saving_vs_ordinary_ten_cents,saving_vs_ordinary_ten_cents_interval,solve_difference_vs_ordinary_ten_cents,dominated_by_a_matched_nonace_budget,preparation_cost,cost_including_preparation_at_measured_n,cost_including_preparation_interval,break_even_problems_at_same_cap,problems_for_ten_percent_total_saving_at_same_cap
train,A0,0.05,80,61,30.5,1.43027771,1.43027771,1.43027771,True,0.715138855,0.02344717557377049,A0,0.0,"[0.0, 0.0]",0.0,0.16592021203579854,"[0.16592021203579854, 0.16592021203579854]",-1.0,False,0.0,1.43027771,"[1.43027771, 1.43027771]",,
train,A0,0.075,80,62,31.0,1.6388340899999998,1.6388340899999998,1.6388340899999998,True,0.8194170449999999,0.026432807903225802,A0,0.0,"[0.0, 0.0]",0.0,0.0442986136617447,"[0.0442986136617447, 0.0442986136617447]",-0.5,False,0.0,1.6388340899999998,"[1.6388340899999998, 1.6388340899999998]",,
train,A0,0.09,80,62,31.0,1.7033922799999999,1.7033922799999999,1.7033922799999999,True,0.8516961399999999,0.02747406903225806,A0,0.0,"[0.0, 0.0]",0.0,0.006650902975857909,"[0.006650902975857909, 0.006650902975857909]",-0.5,True,0.0,1.7033922799999999,"[1.7033922799999999, 1.7033922799999999]",,
train,A0,0.1,80,63,31.5,1.7147972299999998,1.7147972299999998,1.7147972299999998,True,0.8573986149999999,0.027219003650793647,A0,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,False,0.0,1.7147972299999998,"[1.7147972299999998, 1.7147972299999998]",,
train,A1,0.05,80,62,31.0,1.37221124,1.37221124,1.37221124,True,0.68610562,0.022132439354838707,A0,0.040598038824222415,"[0.040598038824222415, 0.040598038824222415]",0.5,0.19978221565006837,"[0.19978221565006837, 0.19978221565006837]",-0.5,False,,,,,
train,A1,0.075,80,66,33.0,1.56358771,1.56358771,1.56358771,True,0.781793855,0.023690722878787877,A0,0.045914580651663095,"[0.045914580651663095, 0.045914580651663095]",2.0,0.08817924204367877,"[0.08817924204367877, 0.08817924204367877]",1.5,False,,,,,
train,A1,0.09,80,67,33.5,1.62517104,1.62517104,1.62517104,True,0.81258552,0.024256284179104477,A0,0.04592086093051917,"[0.04592086093051917, 0.04592086093051917]",2.5,0.05226634871576041,"[0.05226634871576041, 0.05226634871576041]",2.0,False,,,,,
train,A1,0.1,80,67,33.5,1.6362074199999999,1.6362074199999999,1.6362074199999999,True,0.8181037099999999,0.024421006268656714,A0,0.045830380773358215,"[0.045830380773358215, 0.045830380773358215]",2.0,0.045830380773358215,"[0.045830380773358215, 0.045830380773358215]",2.0,False,,,,,
train,A2,0.05,80,59,29.5,1.47305191,1.47305191,1.47305191,True,0.736525955,0.024966981525423728,A0,-0.029906220100430758,"[-0.029906220100430758, -0.029906220100430758]",-1.0,0.14097603831562056,"[0.14097603831562056, 0.14097603831562056]",-2.0,True,21.16027059,22.6333225,"[22.6333225, 22.6333225]",,
train,A2,0.075,80,61,30.5,1.6468821200000001,1.6468821200000001,1.6468821200000001,True,0.8234410600000001,0.02699806754098361,A0,-0.004910826574275218,"[-0.004910826574275218, -0.004910826574275218]",-0.5,0.039605329896643116,"[0.039605329896643116, 0.039605329896643116]",-1.0,True,21.16027059,22.80715271,"[22.80715271, 22.80715271]",,
