partition,arm,replicate,cap,cost,cost_per_solve,coverage,failed_cost,max_cell_cost,n,requests,solves,theorems,saving_vs_same_cap,solve_difference_vs_same_cap
trainX,A0,1,0.05,0.6571291699999999,0.020535286562499998,0.8,0.34813654,0.05368328,40,497,32,40,,
trainX,A0,1,0.075,0.72225949,0.0225706090625,0.8,0.41326685999999996,0.07872196999999999,40,516,32,40,,
trainX,A0,1,0.09,0.7360657899999999,0.023002055937499998,0.8,0.42707315999999995,0.08985352999999999,40,520,32,40,,
trainX,A0,1,0.1,0.7360657899999999,0.023002055937499998,0.8,0.42707315999999995,0.08985352999999999,40,520,32,40,,
trainX,B0,1,0.05,0.75295465,0.02596395344827586,0.725,0.49724181999999995,0.06379283999999999,40,548,29,40,,
trainX,B0,1,0.075,0.88557252,0.029519083999999998,0.75,0.55739606,0.11388632999999998,40,570,30,40,,
trainX,B0,1,0.09,0.8980553699999999,0.029935178999999996,0.75,0.56987891,0.11388632999999998,40,572,30,40,,
trainX,B0,1,0.1,0.90693578,0.030231192666666667,0.75,0.57875932,0.11388632999999998,40,574,30,40,,
trainX,R1,0,0.05,0.63549528,0.0198592275,0.8,0.29325418,0.059926919999999995,40,465,32,40,,
trainX,R1,0,0.075,0.68479416,0.0213998175,0.8,0.34255305999999996,0.08168309,40,473,32,40,,
trainX,R1,0,0.09,0.69347216,0.021671005,0.8,0.35123106,0.09036109,40,475,32,40,,
trainX,R1,0,0.1,0.70627703,0.0220711571875,0.8,0.36403592999999995,0.10316596,40,476,32,40,,
trainX,R1,1,0.05,0.75554135,0.0236106671875,0.8,0.39672255,0.08171121,40,479,32,40,-0.14976078447407803,0
trainX,R1,1,0.075,0.81879475,0.024082198529411764,0.85,0.32579101,0.08171121,40,502,34,40,-0.1336573092310629,2
trainX,R1,1,0.09,0.82942354,0.02439481,0.85,0.3364198,0.09234,40,503,34,40,-0.12683343156051285,2
trainX,R1,1,0.1,0.87545158,0.02574857588235294,0.85,0.38244784,0.13836804000000003,40,505,34,40,-0.1893659396940588,2
validationX,A0,0,0.05,0.72487265,0.02588830892857143,0.7,0.48083898999999997,0.06739711999999999,40,556,28,40,,
validationX,A0,0,0.075,0.80894817,0.02889100607142857,0.7,0.5649145099999999,0.11116468999999998,40,565,28,40,,
validationX,A0,0,0.09,0.8513016699999999,0.03040363107142857,0.7,0.60726801,0.13000575999999997,40,566,28,40,,
validationX,A0,0,0.1,0.8513016699999999,0.03040363107142857,0.7,0.60726801,0.13000575999999997,40,566,28,40,,
validationX,A1,0,0.05,1.00917112,0.03604182571428571,0.7,0.76302993,0.27332516,40,524,28,40,-0.3922047134762219,0
validationX,A1,0,0.075,1.10069231,0.03795490724137931,0.725,0.79773744,0.27332516,40,535,29,40,-0.36064626983456827,1
validationX,A1,0,0.09,1.12215001,0.03869482793103448,0.725,0.8191951399999999,0.27332516,40,536,29,40,-0.3181578863812169,1
validationX,A1,0,0.1,1.12215001,0.03869482793103448,0.725,0.8191951399999999,0.27332516,40,536,29,40,-0.3181578863812169,1
validationX,A2,0,0.05,0.9456527,0.037826108,0.625,0.7741946599999999,0.26603846,40,553,25,40,-0.3045777075462841,-3
validationX,A2,0,0.075,1.01801444,0.0407205776,0.625,0.8465564,0.26603846,40,575,25,40,-0.2584421076074628,-3
validationX,A2,0,0.09,1.0871605,0.04348642,0.625,0.91570246,0.26603846,40,588,25,40,-0.27705669836169844,-3
validationX,A2,0,0.1,1.09481351,0.0437925404,0.625,0.92335547,0.26603846,40,590,25,40,-0.28604647280910434,-3
validationX,B0,0,0.05,0.78105947,0.03254414458333333,0.6,0.6079925899999999,0.056542010000000004,40,646,24,40,,
validationX,B0,0,0.075,0.86272254,0.0345089016,0.625,0.62526072,0.07890122999999999,40,670,25,40,,
validationX,B0,0,0.09,0.89556813,0.0358227252,0.625,0.65810631,0.09471260000000001,40,678,25,40,,
validationX,B0,0,0.1,0.90755318,0.0363021272,0.625,0.67009136,0.10313854000000001,40,681,25,40,,
validationX,B1,0,0.05,0.8963031199999999,0.03447319692307692,0.65,0.63842373,0.08075875999999999,40,610,26,40,-0.14754785573497986,2
validationX,B1,0,0.075,1.0526991399999999,0.04048842846153845,0.65,0.7948197499999999,0.1580936,40,640,26,40,-0.22020590768383075,1
validationX,B1,0,0.09,1.10687914,0.04257227461538461,0.65,0.8489997499999999,0.1580936,40,644,26,40,-0.23595190909707764,1
validationX,B1,0,0.1,1.1557898,0.044453453846153845,0.65,0.8979104099999999,0.1580936,40,647,26,40,-0.27352294661123855,1
validationX,B2,0,0.05,0.85027929,0.0369686647826087,0.575,0.73081611,0.06725684,40,595,23,40,-0.08862298283125591,-1
validationX,B2,0,0.075,0.9538623900000001,0.03974426625,0.6,0.7708238900000001,0.0864571,40,616,24,40,-0.10564213379657339,-1
validationX,B2,0,0.09,1.01230417,0.0404921668,0.625,0.74647078,0.13905541999999999,40,619,25,40,-0.13034858665638271,0
validationX,B2,0,0.1,1.01230417,0.0404921668,0.625,0.74647078,0.13905541999999999,40,619,25,40,-0.11542132440106645,0
