partition,arm,description,replicate,n,solves,cost,cost_per_solve,requests,failed_cost,baseline,saving,saving_ci90_low,saving_ci90_high,family_ci90_low,family_ci90_high,sign_flip_p
trainX,A0,Ordinary assisted,1,40,32,0.7360657899999999,0.023002055937499998,520,0.42707315999999995,,,,,,,
trainX,B0,Ordinary plain,1,40,30,0.90693578,0.030231192666666667,574,0.57875932,,,,,,,
trainX,R1,Three verified rule repairs,0,40,32,0.70627703,0.0220711571875,476,0.36403592999999995,,,,,,,
trainX,R1,Three verified rule repairs,1,40,34,0.87545158,0.02574857588235294,505,0.38244784,A0,-0.1893659396940588,-0.5872785340609928,0.10092841960138013,-0.637834093621718,0.08036179665915746,0.39135217295654084
trainX,online_A2,Online assisted,1,40,31,0.78696859,0.025386083548387096,533,0.47655372999999995,A0,-0.06915523135506652,-0.29952008769420024,0.11274043000044054,-0.3417308597056783,0.10322954386127463,0.5758284834303314
trainX,online_B1,Online plain,1,40,32,0.9452376499999999,0.029538676562499998,501,0.53373896,B0,-0.04223217436630411,-0.42906837035271206,0.25875908839138917,-0.4722167003793989,0.27732551376962117,0.8406831863362733
trainX,online_B2,Online teacher,1,40,31,0.95302296,0.030742676129032257,528,0.58503759,B0,-0.050816365410128794,-0.3547984820397711,0.19205605384854668,-0.4057062544848483,0.23203096604838788,0.7626647467050659
validationX,A0,Ordinary assisted,0,40,28,0.8513016699999999,0.03040363107142857,566,0.60726801,,,,,,,
validationX,A1,Historical X5,0,40,29,1.12215001,0.03869482793103448,536,0.8191951399999999,A0,-0.3181578863812169,-0.8283378378755986,0.04079371808219012,-0.5919924244496302,0.0017378773037810195,0.25017499650007
validationX,A2,Full Sol book,0,40,25,1.09481351,0.0437925404,590,0.92335547,A0,-0.28604647280910434,-0.8322913375526971,0.1126842217400221,-0.5137229419403091,-0.03326832864901567,0.37911241775164495
validationX,B0,Ordinary plain,0,40,25,0.90755318,0.0363021272,681,0.67009136,,,,,,,
validationX,B1,Plain-source Sol book,0,40,26,1.1557898,0.044453453846153845,647,0.8979104099999999,B0,-0.27352294661123855,-0.7124860559146337,0.07117086071713705,-0.7464317659452143,0.07759386933210372,0.24081518369632607
validationX,B2,Teacher-evidence Sol book,0,40,25,1.01230417,0.0404921668,619,0.74647078,B0,-0.11542132440106645,-0.42326003169853366,0.13649978394819579,-0.4516057424041319,0.15890633368691667,0.5119897602047959
