campaign,role,models,outputs,parsed_outputs,requests,normalized_cost,reasoning_tokens
ace_adaptation_attribution-terra-20260912,aggregate_curation_deltas,gpt-5.6-terra,10,10,10,0.1411185,2979
ace_adaptation_attribution-terra-20260912,curate_playbook,gpt-5.6-terra,40,40,40,0.4730575,5240
ace_adaptation_attribution-terra-20260912,reflect_on_trajectory,gpt-5.6-terra,40,40,40,1.793431,12634
ace_adaptation_x-mono,reflect_on_trajectory,gpt-5.6-luna,40,40,40,0.1878528,14919
ace_adaptation_x-mono,rewrite_playbook,gpt-5.6-luna,40,16,99,0.38935197,34884
ace_adaptation_x-noreflect,curate_from_trajectory,gpt-5.6-luna,40,40,42,0.17548683999999998,10575
ace_adaptation_x-offline,curate_playbook,gpt-5.6-luna,40,40,40,0.05712299999999999,6522
ace_adaptation_x-offline,reflect_on_trajectory,gpt-5.6-luna,40,40,40,0.2106195,16657
ace_adaptation_x-offline-e3,curate_playbook,gpt-5.6-luna,79,79,79,0.12264344999999999,11892
ace_adaptation_x-offline-e3,reflect_on_trajectory,gpt-5.6-luna,120,120,122,0.6227690899999999,47105
ace_adaptation_x-online-s0,curate_playbook,gpt-5.6-luna,40,40,41,0.06149962999999999,6436
ace_adaptation_x-online-s0,reflect_on_trajectory,gpt-5.6-luna,40,40,41,0.21052398,19642
ace_adaptation_x-online-s1,curate_playbook,gpt-5.6-luna,40,40,41,0.057598909999999996,6051
ace_adaptation_x-online-s1,reflect_on_trajectory,gpt-5.6-luna,40,40,40,0.2118631,17012
ace_adaptation_x-online-warm-s0,curate_playbook,gpt-5.6-luna,29,29,31,0.05440804,4719
ace_adaptation_x-online-warm-s0,reflect_on_trajectory,gpt-5.6-luna,40,40,40,0.22828484999999998,19170
ace_adaptation_x-online-warm-s1,curate_playbook,gpt-5.6-luna,38,38,38,0.06779579999999999,5467
ace_adaptation_x-online-warm-s1,reflect_on_trajectory,gpt-5.6-luna,40,40,40,0.2414152,21001
ace_adaptation_x3-gate-b1,curate_playbook,gpt-5.6-luna,13,13,13,0.0125711,1656
ace_adaptation_x3-gate-b1,reflect_on_trajectory,gpt-5.6-luna,14,14,14,0.0371352,3692
ace_adaptation_x3-mono,reflect_on_trajectory,gpt-5.6-luna,40,40,40,0.2030333,14911
ace_adaptation_x3-mono,rewrite_playbook,gpt-5.6-luna,40,19,97,0.36525783,29955
ace_adaptation_x3-noreflect,aggregate_curation_deltas,gpt-5.6-luna,10,10,11,0.01446857,3328
ace_adaptation_x3-noreflect,curate_from_trajectory,gpt-5.6-luna,40,40,43,0.16501787999999998,10720
ace_adaptation_x3-offline,aggregate_curation_deltas,gpt-5.6-luna,10,10,10,0.0146377,3955
ace_adaptation_x3-offline,curate_playbook,gpt-5.6-luna,40,40,41,0.046929929999999995,6773
ace_adaptation_x3-offline,reflect_on_trajectory,gpt-5.6-luna,40,40,40,0.17608915,12644
ace_adaptation_x3-offline-e3,aggregate_curation_deltas,gpt-5.6-luna,30,30,30,0.050440599999999995,9588
ace_adaptation_x3-offline-e3,curate_playbook,gpt-5.6-luna,120,120,126,0.18786972999999998,21068
ace_adaptation_x3-offline-e3,reflect_on_trajectory,gpt-5.6-luna,120,120,120,0.5830320999999999,42119
ace_adaptation_x3-online-s0,curate_playbook,gpt-5.6-luna,38,38,39,0.05984381,7257
ace_adaptation_x3-online-s0,reflect_on_trajectory,gpt-5.6-luna,38,38,39,0.18338464,13980
ace_adaptation_x3-online-s1,curate_playbook,gpt-5.6-luna,40,40,45,0.06737916,8629
ace_adaptation_x3-online-s1,reflect_on_trajectory,gpt-5.6-luna,40,40,40,0.19236479999999997,15147
