comparison,n,baseline_solves,arm_solves,baseline_cost,arm_cost,saving,ci_low,ci_high,practical_target,same_contract_except_book,platform_errors
attribution_terra/train,40,33,32,6.503123099999999,5.967198999999998,0.08241026530775664,-0.040898895898651776,0.19409673971154542,False,True,0
attribution_terra/validation,40,29,30,7.247156100000003,7.0738207,0.023917713046087585,-0.09009203232175662,0.12624937495996932,False,True,0
economy/ace_vs_ordinary,80,47,46,1.6732591300000004,1.6341117900000004,0.023395862181848637,-0.06562348517815668,0.10624557774506746,False,True,0
economy/session_vs_ordinary,80,47,50,1.6732591300000004,1.65575289,0.010462360363753254,-0.0786025021349003,0.09323105050589625,False,False,0
economy/views_vs_ordinary,80,47,49,1.6732591300000004,1.6610030899999997,0.007324651502126134,-0.08872980566920902,0.08827580589849997,False,False,0
economy/budget_matched,80,53,53,3.6460832,3.6011533300000003,0.012322776945956626,-0.1225359903476858,0.14094957295055335,False,True,0
economy/session_matched,80,50,50,1.8644214199999998,1.65575289,0.11192133267810223,-0.0031568062269417686,0.21440627864950887,True,True,0
refinement/matched,80,48,45,1.72418805,1.6479503000000004,0.044216609667373286,-0.04253206710927123,0.12378102936605488,False,True,0
refinement/matched_compact,80,46,47,1.7121298600000001,1.6915104199999997,0.012043151913722516,-0.08304259680869384,0.09565568713199107,False,True,0
refinement/matched_reset,80,52,52,1.7813411700000001,1.8374878499999996,-0.03151932989905548,-0.12878748907391996,0.05808442190575248,False,True,1
refinement/matched_reset_compact,80,46,46,1.9613895000000001,1.8031657800000003,0.08066919905505754,-0.012518765353389822,0.16734062878799333,False,True,0
refinement/ace_compact_vs_ordinary,80,48,47,1.72418805,1.6915104199999997,0.01895247447051973,-0.058160376665274294,0.09221840482275298,False,False,0
refinement/ace_reset_vs_ordinary,80,48,52,1.72418805,1.8374878499999996,-0.06571197381863292,-0.15901061462514066,0.023873895320438078,False,False,1
refinement/ace_reset_compact_vs_ordinary,80,48,46,1.72418805,1.8031657800000003,-0.04580575187259894,-0.13667701245662803,0.0455008448647547,False,False,0
sanitized/ace_selected_vs_agentic,80,51,46,1.6026324299999999,1.6800607999999997,-0.04831324298111195,-0.1677151273439692,0.05623726971473298,False,True,0
sanitized/ace_coverage_vs_agentic_coverage,80,54,55,2.0561522699999997,2.1335775599999995,-0.03765542617133111,-0.14793794465402352,0.05493498028033515,False,True,0
sanitized/ace_coverage_vs_agentic,80,51,55,1.6026324299999999,2.1335775599999995,-0.3312956358932533,-0.4448119360334606,-0.20453395601965724,False,False,0
thesis/ace_historical_vs_nonace_ordinary,80,51,52,1.7157477800000003,2.294441080000001,-0.33728343218372125,-0.4953046176372701,-0.15683475398765154,False,False,1
thesis/ace_selected_vs_nonace_ordinary,80,51,51,1.7157477800000003,2.25622122,-0.3150075123512617,-0.47566428893972534,-0.1542096636569009,False,False,1
thesis/ace_historical_vs_nonace_matched,80,49,52,2.41161182,2.294441080000001,0.048586069710008006,-0.052270747856406105,0.13992664228651783,False,True,0
thesis/ace_selected_vs_nonace_matched,80,49,51,2.41161182,2.25622122,0.06443433338289084,-0.024099363189727427,0.13927032480248877,False,True,0
reproduction/32768,80,46,50,1.67164672,1.5918007899999995,0.047764835144115,-0.053506160776045184,0.13810830614242706,False,True,0
reproduction/8192,80,51,45,2.35926838,2.381335370000001,-0.009353319099712154,-0.08117342696403959,0.054086218096567704,False,True,0
historical_online/x-online,80,54,56,1.77504503,2.26516012,-0.27611417272045213,-0.5641884023938847,-0.046157207818652214,False,False,0
historical_online/x-online-warm,80,54,50,1.77504503,2.3127185299999993,-0.30290696343630175,-0.825494950617237,0.03475915978503882,False,False,0
historical_online/x3-online,80,54,55,1.77504503,1.7216621600000004,0.030074093387929213,-0.07842613207550335,0.13482752832797137,False,False,2
