campaign,stage,label,platform_errors,n,theorems,solves,coverage,cost,cost_per_solve,failed_cost,requests,auto_finished,missing_usage,max_cell_cost,input_cost,output_cost,large_context_requests
_smoke_launch,validation,{theorem}__core-medium__gpt-5.6-luna__seed*,0,3,3,3,1.0,0.00562531,0.0018751033333333333,0,6,3,0,0.00517935,0.0015489100000000001,0.0040764,0
ace_adaptation_attribution-terra-20260912,train,step00_generator_{theorem},0,1,1,1,1.0,0.018788799999999998,0.018788799999999998,0,3,0,0,0.018788799999999998,0.0079528,0.010836,0
ace_adaptation_attribution-terra-20260912,train,step01_generator_{theorem},0,1,1,1,1.0,0.44502949999999997,0.44502949999999997,0,26,0,0,0.44502949999999997,0.19024549999999996,0.25478400000000007,0
ace_adaptation_attribution-terra-20260912,train,step02_generator_{theorem},0,1,1,1,1.0,0.0190635,0.0190635,0,3,0,0,0.0190635,0.008515499999999999,0.010548,0
ace_adaptation_attribution-terra-20260912,train,step03_generator_{theorem},0,1,1,1,1.0,0.0064052,0.0064052,0,1,0,0,0.0064052,0.0033212,0.003084,0
ace_adaptation_attribution-terra-20260912,train,step04_generator_{theorem},0,1,1,1,1.0,0.0923531,0.0923531,0,7,1,0,0.0923531,0.0353411,0.057012,0
ace_adaptation_attribution-terra-20260912,train,step05_generator_{theorem},0,1,1,1,1.0,0.0170911,0.0170911,0,5,1,0,0.0170911,0.008799099999999999,0.008292,0
ace_adaptation_attribution-terra-20260912,train,step06_generator_{theorem},0,1,1,1,1.0,0.013003,0.013003,0,1,1,0,0.013003,0.010471000000000001,0.002532,0
ace_adaptation_attribution-terra-20260912,train,step07_generator_{theorem},0,1,1,1,1.0,0.09186829999999999,0.09186829999999999,0,10,0,0,0.09186829999999999,0.0386963,0.053172000000000004,0
ace_adaptation_attribution-terra-20260912,train,step08_generator_{theorem},0,1,1,1,1.0,0.0045518,0.0045518,0,1,0,0,0.0045518,0.0033398,0.001212,0
ace_adaptation_attribution-terra-20260912,train,step09_generator_{theorem},0,1,1,1,1.0,0.0111693,0.0111693,0,3,1,0,0.0111693,0.0069453,0.004224,0
ace_adaptation_attribution-terra-20260912,train,step10_generator_{theorem},0,1,1,1,1.0,0.1853774,0.1853774,0,17,0,0,0.1853774,0.0848414,0.100536,0
ace_adaptation_attribution-terra-20260912,train,step11_generator_{theorem},0,1,1,1,1.0,0.080026,0.080026,0,10,0,0,0.080026,0.037246,0.04278,0
ace_adaptation_attribution-terra-20260912,train,step12_generator_{theorem},0,1,1,1,1.0,0.0051894,0.0051894,0,1,0,0,0.0051894,0.0038694000000000003,0.00132,0
ace_adaptation_attribution-terra-20260912,train,step13_generator_{theorem},0,1,1,1,1.0,0.013308,0.013308,0,1,0,0,0.013308,0.011076,0.002232,0
ace_adaptation_attribution-terra-20260912,train,step14_generator_{theorem},0,1,1,0,0.0,0.9021847999999999,,0.9021847999999999,32,0,0,0.9021847999999999,0.38049679999999997,0.5216879999999999,0
ace_adaptation_attribution-terra-20260912,train,step15_generator_{theorem},0,1,1,1,1.0,0.0073854,0.0073854,0,1,1,0,0.0073854,0.0041694,0.003216,0
ace_adaptation_attribution-terra-20260912,train,step16_generator_{theorem},0,1,1,1,1.0,0.0055194,0.0055194,0,1,0,0,0.0055194,0.0036233999999999997,0.0018960000000000001,0
