stage,arm,seed,n,theorems,solves,coverage,cost,cost_per_solve,failed_cost,requests,auto_finished,missing_usage,max_cell_cost,input_cost,output_cost,large_context_requests,cost_interval,cost_per_solve_interval,failed_cost_interval,bounded_cost_cells,unknown_charge_upper,cost_is_exact,billing_note
train,A0,0,40,40,31,0.775,0.9787314399999999,0.03157198193548387,0.5722889899999999,533,11,0,0.12912617999999998,0.48402244,0.49470899999999995,1,,,,,,,
train,A0,1,40,40,32,0.8,0.7360657899999999,0.023002055937499998,0.42707315999999995,520,9,0,0.08985352999999999,0.34499899,0.3910668,0,,,,,,,
train,A1,0,40,40,33,0.825,0.82080106,0.024872759393939393,0.42584795999999997,483,7,0,0.10541994,0.39872866,0.4220724,0,,,,,,,
train,A1,1,40,40,34,0.85,0.81540636,0.02398254,0.33239483,479,7,0,0.1173948,0.37005636,0.44534999999999997,0,,,,,,,
train,A2,0,40,40,32,0.8,0.72009943,0.0225031071875,0.35502276,499,8,0,0.1188013,0.32289823,0.3972012,0,,,,,,,
train,A2,1,40,40,29,0.725,0.98923903,0.03411169068965517,0.7104684600000001,578,6,0,0.10516041,0.45871902999999997,0.53052,0,,,,,,,
train,B0,0,40,40,31,0.775,0.90422764,0.029168633548387096,0.51246385,599,0,0,0.12077202000000001,0.39633004,0.5078976,0,,,,,,,
train,B0,1,40,40,30,0.75,0.90693578,0.030231192666666667,0.57875932,574,0,0,0.11388632999999998,0.40235857999999997,0.5045772,0,,,,,,,
train,B1,0,40,40,34,0.85,1.01154553,0.02975133911764706,0.59056519,467,0,1,0.25971182000000004,0.35277641,0.4363764,0,"[0.78915281, 1.01154553]","[0.023210376764705883, 0.02975133911764706]","[0.36817247, 0.59056519]",1,0.22239272,False,Cost fields use retained upper liability. The actual invoice is within cost_interval; input/output components cover only observed usage.
train,B1,1,40,40,31,0.775,0.86183751,0.02780121,0.59924583,526,0,0,0.12160035,0.37091751,0.49091999999999997,0,,,,,,,
train,B2,0,40,40,33,0.825,0.9459593199999999,0.028665433939393938,0.56311897,462,0,0,0.13455362999999998,0.40236772,0.5435916,0,,,,,,,
train,B2,1,40,40,33,0.825,0.86646084,0.02625638909090909,0.45385081,533,0,0,0.14132288999999998,0.38057484,0.485886,0,,,,,,,
train,O1,0,40,40,32,0.8,0.77930315,0.0243532234375,0.46325679999999997,451,7,0,0.10570252999999999,0.35115515,0.428148,0,,,,,,,
train,O1,1,40,40,32,0.8,0.71309278,0.022284149375,0.3952953,480,7,0,0.07896795,0.33267598,0.3804168,0,,,,,,,
train,P1,0,40,40,29,0.725,0.98283918,0.03389100620689655,0.70656998,582,5,0,0.13115788,0.47905277999999996,0.5037864,0,,,,,,,
train,P1,1,40,40,30,0.75,0.76224232,0.025408077333333334,0.48914501,550,9,0,0.08536818,0.36989632,0.392346,0,,,,,,,
train,R1,0,40,40,32,0.8,0.70627703,0.0220711571875,0.36403592999999995,476,7,0,0.10316596,0.39357383,0.3127032,0,,,,,,,
train,R1,1,40,40,34,0.85,0.87545158,0.02574857588235294,0.38244784,505,7,0,0.13836804000000003,0.40699078,0.4684608,0,,,,,,,
train,S1,0,40,40,32,0.8,0.82432968,0.0257603025,0.40732551999999994,486,10,0,0.12036926999999999,0.39610488,0.42822479999999996,0,,,,,,,
train,S1,1,40,40,31,0.775,0.8792558799999999,0.028363092903225803,0.58010953,477,7,0,0.10180602,0.42584308,0.45341279999999995,0,,,,,,,
train,online_A2,0,40,40,33,0.825,0.83458347,0.025290408181818182,0.42141417999999997,498,7,0,0.10323842999999999,0.43280067,0.4017828,0,,,,,,,
train,online_A2,1,40,40,31,0.775,0.78696859,0.025386083548387096,0.47655372999999995,533,9,0,0.08065167,0.41237419,0.3745944,0,,,,,,,
train,online_B1,0,40,40,32,0.8,0.7879169,0.024622403125,0.39048856,532,0,0,0.08413434,0.4175357,0.37038119999999997,0,,,,,,,
train,online_B1,1,40,40,32,0.8,0.9452376499999999,0.029538676562499998,0.53373896,501,0,0,0.15968534,0.50277125,0.4424664,1,,,,,,,
train,online_B2,0,40,40,33,0.825,0.83877565,0.02541744393939394,0.37718116,535,0,0,0.12397928999999999,0.38789605,0.4508796,0,,,,,,,
