model,problems,preparation_cost,own_book_inference_per_problem,no_book_inference_per_problem,amortized_per_problem,qualification
luna,10,0.91692376,0.016680709,0.0194128025,0.108373085,Scenario; Luna preparation excludes unavailable historical embeddings
luna,40,0.91692376,0.016680709,0.0194128025,0.03960380299999999,Scenario; Luna preparation excludes unavailable historical embeddings
luna,100,0.91692376,0.016680709,0.0194128025,0.0258499466,Scenario; Luna preparation excludes unavailable historical embeddings
luna,200,0.91692376,0.016680709,0.0194128025,0.021265327799999997,Scenario; Luna preparation excludes unavailable historical embeddings
luna,500,0.91692376,0.016680709,0.0194128025,0.01851455652,Scenario; Luna preparation excludes unavailable historical embeddings
luna,1000,0.91692376,0.016680709,0.0194128025,0.01759763276,Scenario; Luna preparation excludes unavailable historical embeddings
luna,2000,0.91692376,0.016680709,0.0194128025,0.01713917088,Scenario; Luna preparation excludes unavailable historical embeddings
terra,10,8.099218599999999,0.161283605,0.16526564,0.9712054649999999,Scenario; Luna preparation excludes unavailable historical embeddings
terra,40,8.099218599999999,0.161283605,0.16526564,0.36376407,Scenario; Luna preparation excludes unavailable historical embeddings
terra,100,8.099218599999999,0.161283605,0.16526564,0.24227579099999996,Scenario; Luna preparation excludes unavailable historical embeddings
terra,200,8.099218599999999,0.161283605,0.16526564,0.20177969799999998,Scenario; Luna preparation excludes unavailable historical embeddings
terra,500,8.099218599999999,0.161283605,0.16526564,0.1774820422,Scenario; Luna preparation excludes unavailable historical embeddings
terra,1000,8.099218599999999,0.161283605,0.16526564,0.1693828236,Scenario; Luna preparation excludes unavailable historical embeddings
terra,2000,8.099218599999999,0.161283605,0.16526564,0.1653332143,Scenario; Luna preparation excludes unavailable historical embeddings
