archive,arm,seed,cells,complete,raw_solves,qualified_solves,cost_usd,observed_cost_lower_bound,cap,cost_basis,playbook,rendering
ace_online_x-online-s0_agentic,evolving book,0,40,True,28,28,1.0278081399999999,1.0278081399999999,0.1,2026-09-12 repricing; separate from campaign bills,evolving,2
ace_online_x-online-s1_agentic,evolving book,1,40,True,28,28,0.99265034,0.99265034,0.1,2026-09-12 repricing; separate from campaign bills,evolving,2
ace_online_x-online-warm-s0_agentic,evolving book,0,40,True,26,26,0.90926812,0.90926812,0.1,2026-09-12 repricing; separate from campaign bills,evolving,2
ace_online_x-online-warm-s1_agentic,evolving book,1,40,True,24,24,1.05223738,1.05223738,0.1,2026-09-12 repricing; separate from campaign bills,evolving,2
ace_online_x3-online-s0_agentic,evolving book,0,40,False,28,28,,0.72611704,0.1,2026-09-12 repricing; separate from campaign bills,evolving,3
ace_online_x3-online-s1_agentic,evolving book,1,40,True,27,27,0.83751672,0.83751672,0.1,2026-09-12 repricing; separate from campaign bills,evolving,3
ace_online_x4-online-s0_agentic,evolving book,0,40,True,27,27,0.86176396,0.86176396,0.1,2026-09-12 repricing; separate from campaign bills,evolving,3
ace_review_development,baseline-r64,0,40,True,23,23,1.78529516,1.78529516,0.1,2026-09-12 repricing; separate from campaign bills,,1
ace_review_development,baseline-r64,1,40,True,29,29,1.2995337,1.2995337,0.1,2026-09-12 repricing; separate from campaign bills,,1
ace_review_development,repair0-r64,0,40,True,28,28,1.37863318,1.37863318,0.1,2026-09-12 repricing; separate from campaign bills,experiments/playbooks/ace_review_repair_s0.yaml,1
ace_review_development,repair0-r64,1,40,True,27,26,1.61830108,1.61830108,0.1,2026-09-12 repricing; separate from campaign bills,experiments/playbooks/ace_review_repair_s0.yaml,1
ace_review_development,repair1-r64,0,40,True,28,28,1.3639433399999998,1.3639433399999998,0.1,2026-09-12 repricing; separate from campaign bills,experiments/playbooks/ace_review_repair_s1.yaml,1
ace_review_development,repair1-r64,1,40,True,26,26,1.4185693799999999,1.4185693799999999,0.1,2026-09-12 repricing; separate from campaign bills,experiments/playbooks/ace_review_repair_s1.yaml,1
ace_review_development,x3-r64,0,40,True,28,28,1.52378888,1.52378888,0.1,2026-09-12 repricing; separate from campaign bills,experiments/playbooks/ace_x3_offline.yaml,1
ace_review_development,x3-r64,1,40,True,29,29,1.3417959,1.3417959,0.1,2026-09-12 repricing; separate from campaign bills,experiments/playbooks/ace_x3_offline.yaml,1
ace_validation_agentic,ace-30ffc40f-core-medium,0,20,True,15,15,0.24639413999999998,0.24639413999999998,0.05,2026-09-12 repricing; separate from campaign bills,experiments/playbooks/ace_v1.yaml,1
ace_validation_agentic,ace-30ffc40f-core-medium,1,20,True,17,17,0.25937514,0.25937514,0.05,2026-09-12 repricing; separate from campaign bills,experiments/playbooks/ace_v1.yaml,1
ace_x_validation_ace_digest_table_rv2_agentic,ace-ca62b40b-core-medium,0,40,True,26,26,0.74847884,0.74847884,0.1,2026-09-12 repricing; separate from campaign bills,experiments/playbooks/ace_digest_table.yaml,2
ace_x_validation_ace_digest_table_rv2_agentic,ace-ca62b40b-core-medium,1,40,True,25,25,0.9761768399999999,0.9761768399999999,0.1,2026-09-12 repricing; separate from campaign bills,experiments/playbooks/ace_digest_table.yaml,2
ace_x_validation_ace_x3_mono_rv3_agentic,ace-0e162d51-core-medium,0,40,True,27,27,0.89987902,0.89987902,0.1,2026-09-12 repricing; separate from campaign bills,experiments/playbooks/ace_x3_mono.yaml,3
