stage,arm,theorem,seed,cost,failed,solved
training,luna-ace,aime_1984_p1,0,0.032781779999999996,False,False
training,luna-ace,aime_1988_p3,0,0.039468159999999995,False,True
training,luna-ace,aime_1988_p8,0,0.011352979999999999,False,True
training,luna-ace,aime_1990_p4,0,0.0077706400000000005,False,True
training,luna-ace,algebra_amgm_sum1toneqn_prod1tonleq1,0,0.040076360000000005,False,False
training,luna-ace,amc12_2000_p1,0,0.0385016,False,False
training,luna-ace,amc12_2000_p6,0,0.011517859999999998,False,True
training,luna-ace,amc12a_2002_p13,0,0.02622858,False,True
training,luna-ace,amc12a_2003_p1,0,0.0024149799999999997,False,True
training,luna-ace,amc12a_2013_p7,0,0.00079284,False,True
training,luna-ace,amc12a_2016_p2,0,0.00283102,False,True
training,luna-ace,amc12a_2017_p7,0,0.010614499999999999,False,True
training,luna-ace,amc12a_2020_p13,0,0.03665764,False,False
training,luna-ace,amc12b_2002_p11,0,0.03523288,False,False
training,luna-ace,amc12b_2003_p17,0,0.01660522,False,True
training,luna-ace,amc12b_2004_p3,0,0.039440920000000004,False,False
training,luna-ace,imo_1963_p5,0,0.019044719999999998,False,True
training,luna-ace,imo_1967_p3,0,0.0318086,False,False
training,luna-ace,imo_1968_p5_1,0,0.03879356,False,False
training,luna-ace,imo_1977_p6,0,0.039424959999999995,False,False
training,luna-ace,imo_1983_p6,0,0.024007199999999996,False,True
training,luna-ace,induction_pord1p1on2powklt5on2,0,0.0418447,False,True
training,luna-ace,mathd_algebra_185,0,0.03593192,False,False
training,luna-ace,mathd_algebra_206,0,0.00221612,False,True
training,luna-ace,mathd_algebra_224,0,0.03899668,False,False
training,luna-ace,mathd_algebra_247,0,0.0006182399999999999,False,True
training,luna-ace,mathd_algebra_28,0,0.0044972,False,True
training,luna-ace,mathd_algebra_323,0,0.0034953199999999997,False,True
training,luna-ace,mathd_algebra_37,0,0.00049124,False,True
training,luna-ace,mathd_algebra_410,0,0.00068564,False,True
training,luna-ace,mathd_algebra_43,0,0.00064244,False,True
training,luna-ace,mathd_numbertheory_221,0,0.00049884,False,True
training,luna-ace,mathd_numbertheory_301,0,0.00162612,False,True
training,luna-ace,mathd_numbertheory_326,0,0.00047164,False,True
training,luna-ace,mathd_numbertheory_35,0,0.00048363999999999997,False,True
training,luna-ace,mathd_numbertheory_403,0,0.00052664,False,True
training,luna-ace,mathd_numbertheory_42,0,0.00099516,False,True
training,luna-ace,mathd_numbertheory_458,0,0.00215528,False,True
training,luna-ace,mathd_numbertheory_48,0,0.00617276,False,True
training,luna-ace,mathd_numbertheory_629,0,0.04150678,False,False
training,luna-none,aime_1984_p1,0,0.037860019999999994,False,True
training,luna-none,aime_1988_p3,0,0.0389202,False,False
training,luna-none,aime_1988_p8,0,0.02808438,False,True
training,luna-none,aime_1990_p4,0,0.007516819999999999,False,True
training,luna-none,algebra_amgm_sum1toneqn_prod1tonleq1,0,0.03767952,False,False
training,luna-none,amc12_2000_p1,0,0.03390066,False,True
training,luna-none,amc12_2000_p6,0,0.021348,False,True
training,luna-none,amc12a_2002_p13,0,0.037106799999999995,False,False
training,luna-none,amc12a_2003_p1,0,0.00687374,False,True
training,luna-none,amc12a_2013_p7,0,0.0008623399999999999,False,True
training,luna-none,amc12a_2016_p2,0,0.00487482,False,True
training,luna-none,amc12a_2017_p7,0,0.01759008,False,True
training,luna-none,amc12a_2020_p13,0,0.041139239999999994,False,False
training,luna-none,amc12b_2002_p11,0,0.04104936,False,False
training,luna-none,amc12b_2003_p17,0,0.02478684,False,True
training,luna-none,amc12b_2004_p3,0,0.038625959999999994,False,False
training,luna-none,imo_1963_p5,0,0.037479099999999994,False,True
training,luna-none,imo_1967_p3,0,0.04154483999999999,False,False
training,luna-none,imo_1968_p5_1,0,0.03642466,False,True
training,luna-none,imo_1977_p6,0,0.039409440000000004,False,False
training,luna-none,imo_1983_p6,0,0.016766339999999998,False,True
training,luna-none,induction_pord1p1on2powklt5on2,0,0.0396692,False,False
training,luna-none,mathd_algebra_185,0,0.039050079999999994,False,True
training,luna-none,mathd_algebra_206,0,0.00337094,False,True
training,luna-none,mathd_algebra_224,0,0.03756806,False,False
training,luna-none,mathd_algebra_247,0,0.00045254,False,True
training,luna-none,mathd_algebra_28,0,0.00497938,False,True
training,luna-none,mathd_algebra_323,0,0.00845684,False,True
training,luna-none,mathd_algebra_37,0,0.00034114,False,True
training,luna-none,mathd_algebra_410,0,0.00234504,False,True
training,luna-none,mathd_algebra_43,0,0.00097428,False,True
training,luna-none,mathd_numbertheory_221,0,0.00042313999999999996,False,True
training,luna-none,mathd_numbertheory_301,0,0.00119622,False,True
training,luna-none,mathd_numbertheory_326,0,0.0009063599999999999,False,True
training,luna-none,mathd_numbertheory_35,0,0.00034073999999999997,False,True
training,luna-none,mathd_numbertheory_403,0,0.00039814,False,True
training,luna-none,mathd_numbertheory_42,0,0.0366231,False,False
training,luna-none,mathd_numbertheory_458,0,0.00394778,False,True
training,luna-none,mathd_numbertheory_48,0,0.00981372,False,True
training,luna-none,mathd_numbertheory_629,0,0.03751076,False,False
training,terra-ace,aime_1984_p1,0,0.17376219999999998,False,True
training,terra-ace,aime_1988_p3,0,0.261713,False,True
training,terra-ace,aime_1988_p8,0,0.0462724,False,True
training,terra-ace,aime_1990_p4,0,0.0747588,False,True
training,terra-ace,algebra_amgm_sum1toneqn_prod1tonleq1,0,0.3609879999999999,False,True
training,terra-ace,amc12_2000_p1,0,0.41042339999999994,False,True
training,terra-ace,amc12_2000_p6,0,0.2274308,False,True
training,terra-ace,amc12a_2002_p13,0,0.0923434,False,True
training,terra-ace,amc12a_2003_p1,0,0.0200196,False,True
training,terra-ace,amc12a_2013_p7,0,0.0163516,False,True
training,terra-ace,amc12a_2016_p2,0,0.045072999999999995,False,True
training,terra-ace,amc12a_2017_p7,0,0.17734160000000002,False,True
training,terra-ace,amc12a_2020_p13,0,0.27366460000000004,False,False
training,terra-ace,amc12b_2002_p11,0,0.3499714,False,False
training,terra-ace,amc12b_2003_p17,0,0.023197799999999998,False,True
training,terra-ace,amc12b_2004_p3,0,0.0534568,False,True
training,terra-ace,imo_1963_p5,0,0.09894059999999999,False,True
training,terra-ace,imo_1967_p3,0,0.39478360000000007,False,False
training,terra-ace,imo_1968_p5_1,0,0.091141,False,True
training,terra-ace,imo_1977_p6,0,0.3685402,False,False
training,terra-ace,imo_1983_p6,0,0.4318164,False,False
training,terra-ace,induction_pord1p1on2powklt5on2,0,0.13330140000000001,False,True
training,terra-ace,mathd_algebra_185,0,0.34470500000000004,False,False
training,terra-ace,mathd_algebra_206,0,0.0205376,False,True
training,terra-ace,mathd_algebra_224,0,0.3807368,False,False
training,terra-ace,mathd_algebra_247,0,0.0070328000000000005,False,True
training,terra-ace,mathd_algebra_28,0,0.0066428,False,True
training,terra-ace,mathd_algebra_323,0,0.0250908,False,True
training,terra-ace,mathd_algebra_37,0,0.0042147999999999994,False,True
training,terra-ace,mathd_algebra_410,0,0.0053668,False,True
training,terra-ace,mathd_algebra_43,0,0.0048628000000000005,False,True
training,terra-ace,mathd_numbertheory_221,0,0.0057788,False,True
training,terra-ace,mathd_numbertheory_301,0,0.0169616,False,True
training,terra-ace,mathd_numbertheory_326,0,0.0078948,False,True
training,terra-ace,mathd_numbertheory_35,0,0.0042228,False,True
training,terra-ace,mathd_numbertheory_403,0,0.0054448000000000005,False,True
training,terra-ace,mathd_numbertheory_42,0,0.07469139999999999,False,True
training,terra-ace,mathd_numbertheory_458,0,0.018295,False,True
training,terra-ace,mathd_numbertheory_48,0,0.06240979999999999,False,True
training,terra-ace,mathd_numbertheory_629,0,0.35454719999999995,False,False
training,terra-none,aime_1984_p1,0,0.33814199999999994,False,False
training,terra-none,aime_1988_p3,0,0.32144120000000004,False,True
training,terra-none,aime_1988_p8,0,0.0454302,False,True
training,terra-none,aime_1990_p4,0,0.12497239999999998,False,True
training,terra-none,algebra_amgm_sum1toneqn_prod1tonleq1,0,0.3417362,False,False
training,terra-none,amc12_2000_p1,0,0.24320259999999996,False,True
training,terra-none,amc12_2000_p6,0,0.1248168,False,True
training,terra-none,amc12a_2002_p13,0,0.1088712,False,True
training,terra-none,amc12a_2003_p1,0,0.0172348,False,True
training,terra-none,amc12a_2013_p7,0,0.0086114,False,True
training,terra-none,amc12a_2016_p2,0,0.0240888,False,True
training,terra-none,amc12a_2017_p7,0,0.100883,False,True
training,terra-none,amc12a_2020_p13,0,0.4081126,False,False
