model,batch,bullets,solves,source_theorems,tokens
luna,1,3,3,"[""mathd_algebra_28"", ""amc12b_2002_p11"", ""amc12a_2003_p1"", ""mathd_numbertheory_326""]",196
luna,2,6,4,"[""amc12b_2004_p3"", ""mathd_numbertheory_458"", ""mathd_numbertheory_403"", ""amc12a_2017_p7""]",422
luna,3,8,4,"[""mathd_algebra_37"", ""mathd_numbertheory_301"", ""aime_1990_p4"", ""mathd_numbertheory_42""]",611
luna,4,11,3,"[""mathd_numbertheory_221"", ""mathd_algebra_43"", ""algebra_amgm_sum1toneqn_prod1tonleq1"", ""amc12a_2013_p7""]",856
luna,5,14,4,"[""mathd_algebra_410"", ""induction_pord1p1on2powklt5on2"", ""amc12_2000_p1"", ""aime_1984_p1""]",1106
luna,6,17,2,"[""imo_1977_p6"", ""amc12a_2020_p13"", ""amc12a_2002_p13"", ""imo_1983_p6""]",1348
luna,7,20,3,"[""mathd_numbertheory_629"", ""amc12a_2016_p2"", ""aime_1988_p8"", ""mathd_algebra_206""]",1611
luna,8,23,4,"[""mathd_algebra_185"", ""imo_1963_p5"", ""mathd_algebra_247"", ""aime_1988_p3""]",1914
luna,9,26,3,"[""mathd_numbertheory_48"", ""amc12_2000_p6"", ""mathd_algebra_224"", ""amc12b_2003_p17""]",2129
luna,10,26,3,"[""mathd_numbertheory_35"", ""imo_1968_p5_1"", ""mathd_algebra_323"", ""imo_1967_p3""]",2103
terra,1,3,4,"[""mathd_algebra_28"", ""amc12b_2002_p11"", ""amc12a_2003_p1"", ""mathd_numbertheory_326""]",295
terra,2,6,4,"[""amc12b_2004_p3"", ""mathd_numbertheory_458"", ""mathd_numbertheory_403"", ""amc12a_2017_p7""]",568
terra,3,8,4,"[""mathd_algebra_37"", ""mathd_numbertheory_301"", ""aime_1990_p4"", ""mathd_numbertheory_42""]",724
terra,4,10,3,"[""mathd_numbertheory_221"", ""mathd_algebra_43"", ""algebra_amgm_sum1toneqn_prod1tonleq1"", ""amc12a_2013_p7""]",886
terra,5,12,4,"[""mathd_algebra_410"", ""induction_pord1p1on2powklt5on2"", ""amc12_2000_p1"", ""aime_1984_p1""]",1071
terra,6,15,4,"[""imo_1977_p6"", ""amc12a_2020_p13"", ""amc12a_2002_p13"", ""imo_1983_p6""]",1400
terra,7,18,4,"[""mathd_numbertheory_629"", ""amc12a_2016_p2"", ""aime_1988_p8"", ""mathd_algebra_206""]",1713
terra,8,21,4,"[""mathd_algebra_185"", ""imo_1963_p5"", ""mathd_algebra_247"", ""aime_1988_p3""]",1986
terra,9,24,4,"[""mathd_numbertheory_48"", ""amc12_2000_p6"", ""mathd_algebra_224"", ""amc12b_2003_p17""]",2280
terra,10,26,3,"[""mathd_numbertheory_35"", ""imo_1968_p5_1"", ""mathd_algebra_323"", ""imo_1967_p3""]",2426
