campaign,unique_receipts,duplicate_receipts_excluded,charged_usd,unsettled_receipts,basis
ace_bounded_20260908,783,0,1.3827207199999993,0,receipt exports; excludes assistant and engineering costs
ace_polish_20260909,2749,0,4.241467740000005,0,receipt exports; excludes assistant and engineering costs
ace_applicability_20260909,60,0,0.05822918000000002,0,receipt exports; excludes assistant and engineering costs
change_control_20260910,41,0,0.15247908000000004,0,receipt exports; excludes assistant and engineering costs
terra_high_20260910,6,0,0.057621,0,receipt exports; excludes assistant and engineering costs
luna_high_20260910,6,0,0.007851299999999999,0,receipt exports; excludes assistant and engineering costs
luna_upper_20260910,17,0,0.03147888,0,receipt exports; excludes assistant and engineering costs
ace_models_20260910,3966,0,8.717239999999984,0,receipt exports; excludes assistant and engineering costs
ace_contenders_20260910,1861,0,2.601556560000006,0,receipt exports; excludes assistant and engineering costs
ace_mechanisms_20260910,2329,0,3.3642010000000027,0,receipt exports; excludes assistant and engineering costs
coverage_cycle_20260911,3996,0,6.008345879999994,0,receipt exports; excludes assistant and engineering costs
ace_attribution_20260912,3939,0,38.88507491999985,0,receipt exports; excludes assistant and engineering costs
ace_capacity_20260912,2722,0,23.25562298000003,0,receipt exports; excludes assistant and engineering costs
