model,book,index,theorem,spend,solves
gpt-5.6-luna,none,0,,0.0,0
gpt-5.6-luna,none,1,imo_1960_p2,0.039185399999999995,0
gpt-5.6-luna,none,2,aime_1991_p6,0.07075541999999999,0
gpt-5.6-luna,none,3,amc12a_2008_p4,0.09081603999999999,1
gpt-5.6-luna,none,4,induction_prod1p1onk3le3m1onn,0.11379793999999999,2
gpt-5.6-luna,none,5,algebra_others_exirrpowirrrat,0.15184202,2
gpt-5.6-luna,none,6,mathd_algebra_190,0.15240631999999998,3
gpt-5.6-luna,none,7,mathd_numbertheory_284,0.15279005999999998,4
gpt-5.6-luna,none,8,imo_1964_p2,0.16893798,5
gpt-5.6-luna,none,9,aime_1984_p7,0.20211263999999998,6
gpt-5.6-luna,none,10,amc12a_2013_p8,0.20813803999999997,7
gpt-5.6-luna,none,11,mathd_algebra_214,0.21019185999999998,8
gpt-5.6-luna,none,12,mathd_numbertheory_303,0.24682309999999996,8
gpt-5.6-luna,none,13,imo_1969_p2,0.28829641999999994,8
gpt-5.6-luna,none,14,aime_1989_p8,0.28878075999999997,9
gpt-5.6-luna,none,15,amc12a_2016_p3,0.29560089999999994,10
gpt-5.6-luna,none,16,mathd_algebra_234,0.29609363999999994,11
gpt-5.6-luna,none,17,mathd_numbertheory_33,0.29870633999999996,12
gpt-5.6-luna,none,18,imo_1981_p6,0.31041566,13
gpt-5.6-luna,none,19,aime_1991_p9,0.35253042,13
gpt-5.6-luna,none,20,amc12a_2019_p21,0.39203696,13
gpt-5.6-luna,none,21,mathd_algebra_251,0.39886402,14
gpt-5.6-luna,none,22,mathd_numbertheory_37,0.43139165999999995,14
gpt-5.6-luna,none,23,imo_1984_p6,0.4703917799999999,14
gpt-5.6-luna,none,24,amc12a_2020_p21,0.5114579199999999,14
gpt-5.6-luna,none,25,mathd_algebra_282,0.54270762,14
gpt-5.6-luna,none,26,mathd_numbertheory_405,0.5795634599999999,14
gpt-5.6-luna,none,27,amc12b_2002_p3,0.6167573399999999,14
gpt-5.6-luna,none,28,mathd_algebra_327,0.6192278999999999,15
gpt-5.6-luna,none,29,mathd_numbertheory_43,0.6376795799999999,15
gpt-5.6-luna,none,30,amc12b_2003_p6,0.6617731199999999,16
gpt-5.6-luna,none,31,mathd_algebra_393,0.6689807599999998,17
