campaign,stage,arm,cells,cost,cost_per_solve,solves
ace_contenders_20260910,training,reference,40,0.68922336,0.024615119999999997,28
ace_contenders_20260910,training,reflector-medium,40,0.69352128,0.026673895384615384,26
ace_contenders_20260910,training,reflector-xhigh,40,0.58169766,0.021544357777777776,27
ace_contenders_20260910,validation,reference,40,0.66722836,0.02471216148148148,27
ace_contenders_20260910,validation,reflector-medium,40,0.7403246,0.038964452631578946,19
ace_contenders_20260910,validation,reflector-xhigh,40,0.58601302,0.024417209166666665,24
ace_mechanisms_20260910,training,C,40,0.56075226,0.02670248857142857,21
ace_mechanisms_20260910,training,E,40,0.60903516,0.021001212413793106,29
ace_mechanisms_20260910,training,R,40,0.58072264,0.038714842666666666,15
ace_mechanisms_20260910,training,S,40,0.45933386,0.020878811818181818,22
ace_mechanisms_20260910,training,reference,40,0.68922336,0.024615119999999997,28
ace_mechanisms_20260910,validation,E,80,1.3606317399999999,0.031642598604651156,43
ace_mechanisms_20260910,validation,reference,80,1.43330822,0.027043551320754717,53
coverage_20260911,training,D,40,0.7031468399999999,0.027044109230769227,26
coverage_20260911,training,E,40,0.696616,0.02679292307692308,26
coverage_20260911,training,reference,40,0.68922336,0.024615119999999997,28
coverage_20260911,validation,D,40,0.62971114,0.024219659230769228,26
coverage_20260911,validation,E,40,0.6755828799999999,0.027023315199999995,25
coverage_20260911,validation,reference,40,0.66722836,0.02471216148148148,27
coverage_cycle_20260911,training,D2,40,0.7309099,0.027070737037037038,27
coverage_cycle_20260911,training,E2,40,0.66966306,0.023916537857142855,28
coverage_cycle_20260911,training,H,40,0.8734505199999999,0.032350019259259254,27
coverage_cycle_20260911,training,S,40,0.66359736,0.022882667586206898,29
coverage_cycle_20260911,training,reference,40,0.68922336,0.024615119999999997,28
coverage_cycle_20260911,validation,D2,40,0.7054287,0.028217148,25
coverage_cycle_20260911,validation,E2,40,0.78549478,0.03272894916666667,24
coverage_cycle_20260911,validation,H,40,0.81884432,0.0327537728,25
coverage_cycle_20260911,validation,S,40,0.76095724,0.030438289599999998,25
coverage_cycle_20260911,validation,reference,40,0.66722836,0.02471216148148148,27
