model,book,threshold,solves
gpt-5.6-luna,none,0.0,0
gpt-5.6-luna,none,0.00038374,1
gpt-5.6-luna,none,0.00043074,2
gpt-5.6-luna,none,0.0004723399999999999,3
gpt-5.6-luna,none,0.00048434,4
gpt-5.6-luna,none,0.00049274,5
gpt-5.6-luna,none,0.00053394,6
gpt-5.6-luna,none,0.0005643,7
gpt-5.6-luna,none,0.00205382,8
gpt-5.6-luna,none,0.00219164,9
gpt-5.6-luna,none,0.00247056,10
gpt-5.6-luna,none,0.0026127,11
gpt-5.6-luna,none,0.0036559999999999995,12
gpt-5.6-luna,none,0.00550832,13
gpt-5.6-luna,none,0.0060254,14
gpt-5.6-luna,none,0.00682014,15
gpt-5.6-luna,none,0.00682706,16
gpt-5.6-luna,none,0.0072076399999999995,17
gpt-5.6-luna,none,0.00915588,18
gpt-5.6-luna,none,0.011709319999999999,19
gpt-5.6-luna,none,0.01614792,20
gpt-5.6-luna,none,0.018451679999999998,20
gpt-5.6-luna,none,0.02006062,21
gpt-5.6-luna,none,0.0229819,22
gpt-5.6-luna,none,0.024093539999999997,23
gpt-5.6-luna,none,0.025,23
gpt-5.6-luna,none,0.0312497,23
gpt-5.6-luna,none,0.03157002,23
gpt-5.6-luna,none,0.03252764,23
gpt-5.6-luna,none,0.033174659999999995,24
gpt-5.6-luna,none,0.036631239999999995,24
gpt-5.6-luna,none,0.03685584,24
gpt-5.6-luna,none,0.03719388,24
gpt-5.6-luna,none,0.03804408,24
gpt-5.6-luna,none,0.03900012,24
gpt-5.6-luna,none,0.039185399999999995,24
gpt-5.6-luna,none,0.03950653999999999,24
gpt-5.6-luna,none,0.04096698,24
gpt-5.6-luna,none,0.04106614,24
gpt-5.6-luna,none,0.041473319999999994,24
gpt-5.6-luna,none,0.04211476,24
gpt-5.6-luna,none,0.044615499999999995,24
gpt-5.6-luna,none,0.05,24
gpt-5.6-luna,none,0.075,24
gpt-5.6-luna,none,0.1,24
gpt-5.6-luna,none,0.25,24
gpt-5.6-luna,none,0.5,24
gpt-5.6-luna,none,0.75,24
gpt-5.6-luna,none,1.0,24
gpt-5.6-luna,luna,0.0,0
gpt-5.6-luna,luna,0.00030785999999999997,1
gpt-5.6-luna,luna,0.000312,2
gpt-5.6-luna,luna,0.00033951999999999995,3
gpt-5.6-luna,luna,0.00034186000000000004,4
gpt-5.6-luna,luna,0.00035376,5
gpt-5.6-luna,luna,0.00047744,6
gpt-5.6-luna,luna,0.00055204,7
gpt-5.6-luna,luna,0.00059424,8
gpt-5.6-luna,luna,0.0006368400000000001,9
gpt-5.6-luna,luna,0.00092788,10
gpt-5.6-luna,luna,0.00129784,11
gpt-5.6-luna,luna,0.00162758,12
gpt-5.6-luna,luna,0.0018152399999999999,13
gpt-5.6-luna,luna,0.0056448,14
gpt-5.6-luna,luna,0.005691659999999999,15
gpt-5.6-luna,luna,0.00614216,16
gpt-5.6-luna,luna,0.00632444,17
gpt-5.6-luna,luna,0.00671758,18
gpt-5.6-luna,luna,0.0078697,19
gpt-5.6-luna,luna,0.0091323,20
gpt-5.6-luna,luna,0.01220498,21
gpt-5.6-luna,luna,0.01376906,22
gpt-5.6-luna,luna,0.01450842,23
gpt-5.6-luna,luna,0.018928359999999998,23
gpt-5.6-luna,luna,0.019050199999999996,23
gpt-5.6-luna,luna,0.02100072,24
gpt-5.6-luna,luna,0.023090899999999998,25
gpt-5.6-luna,luna,0.025,25
gpt-5.6-luna,luna,0.03317128,25
gpt-5.6-luna,luna,0.03469452,25
gpt-5.6-luna,luna,0.035652699999999996,26
gpt-5.6-luna,luna,0.035738439999999996,26
gpt-5.6-luna,luna,0.03626396,26
gpt-5.6-luna,luna,0.0363663,26
gpt-5.6-luna,luna,0.036673559999999994,26
gpt-5.6-luna,luna,0.03846148,26
gpt-5.6-luna,luna,0.03866376,26
gpt-5.6-luna,luna,0.04002686,26
gpt-5.6-luna,luna,0.04039864,27
gpt-5.6-luna,luna,0.040541839999999996,27
